id,cost,talktime,validity,comments
13642,13,,2 days,75 MB 2G Data
13643,18,,3 days,110 MB 2G Data
13645,27,,3 days,150 MB 2G Data
13648,38,,5 days,225 MB 2G Data
13649,56,,7 days,300 MB Data
13650,58,,8 days,325 MB 2G Data
13651,77,,7 days,400 MB Data
13652,86,,10 days,490 MB 2G Data
13653,93,,7 days,500 MB Data
13654,112,,14 days,500 MB Data
13655,131,,14 days,600 MB Data
13656,147,,28 days,1 GB/ Day 2G Data
13657,151,,21 days,600 MB Data
13658,175,,28 days,1024 MB 2G Data
13661,197,,28 days,1280 MB 2G Data
13662,223,,28 days,4 GB 2G Data. Unused data quota will be forfeited.
13663,242,,28 days,5 GB 2G Data. Unused data quota will be forfeited.
13664,282,,28 days,4096 MB 2G Data
13666,301,,75 days,6 GB Data
13668,365,,375 days,1GB 2G Data Per Day
13669,398,,28 days,5 GB Data
13670,442,,60 days,3 GB Data
13672,489,,28 days,7 GB 2G Data. Unused data quota will be forfeited.
