id,cost,talktime,validity,comments
13606,65,65,10 days,5 Local and National SMS (1 day)
13607,94,94,10 days,100 MB 3G data -- All Local and STD voice calls @ 40p/min
13623,62,35,28 days,Rs 35 Promo Talktime -- 20 Local Reliance to reliance minutes (2 Days)
13624,63,52.26,N.A,5 Local and National SMS Valid for 1 day (same day)
13626,81,55,28 days,Rs 55 Promo Talktime -- 20 Local Reliance to reliance minutes (2 Days)
13632,448,200,28 days,2 GB Data 
13634,247,75,28 days,1 GB Data
13647,35,,2 days,1GB + 1 Hour All Calls to any N/W
13659,193,,28 days,30 Mins All Calls -- 1 GB/ Day Data 
13660,196,,28 days,1 GB Data -- Unlimited Local and STD Reliance to Reliance calls+1250 Local and STD minutes to other network -- Free Incoming roaming.Post 1250 Local & STD minutes all calls @20p/min
13665,299,,28 days,2 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 1900 Local and STD minutes to other network -- Free Incoming roaming.Post 1900 Local & STD minutes all calls @20p/min
13667,349,,28 days,Unlimited Calls to any Network -- 1 GB/ Day Data -- FUP-150 Mins Per Day
13671,482,,90 days,15 GB of 2G Data -- Voice tariff @1p/s
13673,499,,28 days,4 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 3300 Local and STD minutes to other network -- Free Incoming roaming.Post 3300 Local & STD minutes all calls @20p/min
13674,501,,90 days,1 GB Data -- Unlimited Local and STD Reliance to Reliance calls + 3300 Local and STD minutes to other network -- Free Incoming roaming.Post 3300 Local & STD minutes all calls @20p/min
13675,895,,90 days,Unlimited Local calls to Reliance number + 600 mins for other Local & all STD calls -- 2 GB 2G data free
13676,1495,,90 days,Unlimited Local calls to Reliance number + 2000 mins for other Local & all STD calls -- 6 GB 2G data free
13677,4995,,180 days,8 lakh sec free all Local + STD -- 12 GB 2G data free
13678,4999,,180 days,"16,000 min free Local + STD -- 12 GB 2G data free"
