id,cost,talktime,validity,short description,long description
15315,10,7.48,N.A,Recharge of Rs. 10 by Indicom,Talktime of Rs. 7.48 for Rs. 10 recharge by Tata Indicom
15316,20,14.94,N.A,Recharge of Rs. 20 by Indicom,Talktime of Rs. 14.94 for Rs. 20 recharge by Tata Indicom
15317,30,22.42,N.A,Recharge of Rs. 30 by Indicom,Talktime of Rs. 22.42 for Rs. 30 recharge by Tata Indicom
15318,50,40.47,N.A,Recharge of Rs. 50 by Indicom,Talktime of Rs. 40.47 for Rs. 50 recharge by Tata Indicom
15319,60,49.17,N.A,Recharge of Rs. 60 by Indicom,Talktime of Rs. 49.17 for Rs. 60 recharge by Tata Indicom
15320,80,66.57,N.A,Recharge of Rs. 80 by Indicom,Talktime of Rs. 66.57 for Rs. 80 recharge by Tata Indicom
15321,100,83.98,N.A,Recharge of Rs. 100 by Indicom,Talktime of Rs. 83.98 for Rs. 100 recharge by Tata Indicom
15322,130,110.04,N.A,Recharge of Rs. 130 by Indicom,Talktime of Rs. 110.04 for Rs. 130 recharge by Tata Indicom
15323,200,170.91,N.A,Recharge of Rs. 200 by Indicom,Talktime of Rs. 170.91 for Rs. 200 recharge by Tata Indicom
15324,250,214.39,N.A,Recharge of Rs. 250 by Indicom,Talktime of Rs. 214.39 for Rs. 250 recharge by Tata Indicom
15325,350,301.35,N.A,Recharge of Rs. 350 by Indicom,Talktime of Rs. 301.35 for Rs. 350 recharge by Tata Indicom
15326,400,344.82,N.A,Recharge of Rs. 400 by Indicom,Talktime of Rs. 344.82 for Rs. 400 recharge by Tata Indicom
15327,450,388.3,N.A,Recharge of Rs. 450 by Indicom,Talktime of Rs. 388.3 for Rs. 450 recharge by Tata Indicom
15328,600,518.74,N.A,Recharge of Rs. 600 by Indicom,Talktime of Rs. 518.74 for Rs. 600 recharge by Tata Indicom
15329,700,605.7,N.A,Recharge of Rs. 700 by Indicom,Talktime of Rs. 605.7 for Rs. 700 recharge by Tata Indicom
15330,800,692.65,N.A,Recharge of Rs. 800 by Indicom,Talktime of Rs. 692.65 for Rs. 800 recharge by Tata Indicom
15331,900,779.61,N.A,Recharge of Rs. 900 by Indicom,Talktime of Rs. 779.61 for Rs. 900 recharge by Tata Indicom
15332,1000,866.56,N.A,Recharge of Rs. 1000 by Indicom,Talktime of Rs. 866.56 for Rs. 1000 recharge by Tata Indicom
