id,cost,talktime,validity,comments
3260,18,18,1 day,"2 local airtel SMS, till midnight (for the same day)"
3261,28,28,2 days,2 Local airtel SMS
3262,47,47,4 days,2 Local Airtel SMS for 1 day
3263,105,105,10 days,2 Local Airtel SMS for 1 day
3264,205,205,25 days,2 Local Airtel SMS for 1 day
3265,300,330,N.A,Exclusive offer on My Airtel app and Airtel.in
3270,786,786,N.A,2 local airtel SMS for 1 day
3276,26,15,90 days,Local & STD outgoing calls on National Roaming @60p/min
3277,27,20.18,N.A,2 Local Airtel SMS for 1 Day.
3282,65,52.08,N.A,2 Local Airtel SMS for 1 Day.
3284,89,72.42,N.A,2 Local Airtel SMS for 1 Day
3286,95,77.51,N.A,2 Local Airtel SMS for 1 Day
3288,114,93.61,N.A,2 Local Airtel SMS for 1 Day.
3291,153,126.66,N.A,2 Local Airtel SMS for 1 Day.
3292,183,152.08,N.A,2 Local Airtel SMS for 1 Day.
3310,498,,28 days,Unlimited all Local + STD calls -- 1.25 GB data -- For 4G Handset with 4G SIM extra 1.25 GB data -- T&C apply
3311,899,,28 days,Unlimited all Local + STD calls -- 3 GB data -- For 4G Handset with 4G SIM extra 3 GB data -- T&C apply.
3313,1198,,28 days,Unlimited all Local + STD calls --  5 GB data -- For 4G Handset with 4G SIM extra 5 GB data -- T&C apply
3314,244,,28 days,"Unlimited Local + STD Airtel to Airtel Mobile calls -- 50 MB data.For 4G Handset+ 4G SIM,extra 1GB Data -- T&C apply"
3315,399,,28 days,Unlimited all Local + STD calls --  250 MB data -- For 4G Handset with 4G SIM extra 1 GB data -- T&C apply
