id,cost,talktime,validity,comments
3274,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Airtel
3275,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
3278,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
3279,40,30.9,N.A,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
3280,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
3281,60,47.85,N.A,Talktime of Rs. 47.85 for Rs. 60 recharge by Airtel
3283,70,56.32,N.A,Talktime of Rs. 56.32 for Rs. 70 recharge by Airtel
3285,90,73.27,N.A,Talktime of Rs. 73.27 for Rs. 90 recharge by Airtel
3287,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Airtel
3289,120,98.69,N.A,Talktime of Rs. 98.69 for Rs. 120 recharge by Airtel
3290,150,124.12,N.A,Talktime of Rs. 124.12 for Rs. 150 recharge by Airtel
3293,200,166.49,N.A,Talktime of Rs. 166.49 for Rs. 200 recharge by Airtel
3294,220,195,N.A,Talktime of Rs. 195 for Rs. 220 recharge by Airtel
3295,230,205,N.A,Talktime of Rs. 205 for Rs. 230 recharge by Airtel
3296,250,235,N.A,Talktime of Rs. 235 for Rs. 250 recharge by Airtel
3297,260,250,N.A,Talktime of Rs. 250 for Rs. 260 recharge by Airtel
3298,270,260,N.A,Talktime of Rs. 260 for Rs. 270 recharge by Airtel
