id,cost,talktime,validity,short description,long description
8559,7,,90 days,Recharge of Rs. 7 by Docomo,All Local and STD mobile calls @ 1p/ sec
8560,17,,2 days,Recharge of Rs. 17 by Docomo,Unlimited Local onnet + STD onnet calls
8561,25,,7 days,Recharge of Rs. 25 by Docomo,120 Local On-Net Mins
8562,27,,28 days,Recharge of Rs. 27 by Docomo,All Local & STD mobile calls @ 25p/ min.-- Daily 1st 2 any(Local/STD) mobile mins @ Rs.1/min
8563,29,,84 days,Recharge of Rs. 29 by Docomo,Local/STD Mobile calls @1.2p/sec
8564,32,,56 days,Recharge of Rs. 32 by Docomo,All Local mobile calls @ 35p/ min
8565,43,,56 days,Recharge of Rs. 43 by Docomo,All Local mobile calls @30p/ min
8566,46,,28 days,Recharge of Rs. 46 by Docomo,"All Local mobile calls @ 45p/ min., All STD mobile calls @ 40p/ min."
8567,47,,14 days,Recharge of Rs. 47 by Docomo,125 Local Mins
8568,49,,7 days,Recharge of Rs. 49 by Docomo,115 Local + STD Mins
8569,57,,56 days,Recharge of Rs. 57 by Docomo,"All Local On-Net calls @ 15p/ min., All Local Off-Net calls @ 45p/ min."
8570,58,,28 days,Recharge of Rs. 58 by Docomo,"All Local mobile calls @ 40p/ min., All STD mobile calls @ 40p/ min"
8571,67,,56 days,Recharge of Rs. 67 by Docomo,All Local & STD mobile calls @ 35p/ min
8572,68,,28 days,Recharge of Rs. 68 by Docomo,400 Local On-Net Mins
8573,69,,56 days,Recharge of Rs. 69 by Docomo,"All Local On-Net calls @ 15p/ min., All Local Off-Net calls @ 40p/ min."
8574,75,,14 days,Recharge of Rs. 75 by Docomo,175 Local + STD Mins
8575,77,,56 days,Recharge of Rs. 77 by Docomo,All Local & STD mobile calls @ 30p/ min
8576,87,,56 days,Recharge of Rs. 87 by Docomo,Local On-Net & Off-Net mobile calls @ 30p/ min.
8577,88,,15 days,Recharge of Rs. 88 by Docomo,Unlimited Local On-Net mobile calls @ 0p/ min.
8578,89,,84 days,Recharge of Rs. 89 by Docomo,All Local/ STD mobile calls @ 40p/ min.
8579,148,,14 days,Recharge of Rs. 148 by Docomo,600 mins of usage in Local and STD calls
8580,169,,28 days,Recharge of Rs. 169 by Docomo,1500 Local On-Net Mins
8581,246,,28 days,Recharge of Rs. 246 by Docomo,1000 mins of usage in Local and STD calls
8582,299,,28 days,Recharge of Rs. 299 by Docomo,1250 Local Mins
8583,666,,28 days,Recharge of Rs. 666 by Docomo,"All Local Mobile calls Free uptil 2500 mins, after 2500 mins, Local calls@ 1.5p/sec "
