id,cost,talktime,validity,comments
15406,14,14,1 day,Talktime of Rs. 14 for Rs. 14 recharge by Tata Indicom
15408,160,160,N.A,Talktime of Rs. 160 for Rs. 160 recharge by Tata Indicom
15409,250,250,N.A,Talktime of Rs. 250 for Rs. 250 recharge by Tata Indicom
15410,333,340,N.A,Talktime of Rs. 340 for Rs. 333 recharge by Tata Indicom
15411,410,420,N.A,Talktime of Rs. 420 for Rs. 410 recharge by Tata Indicom
15412,444,455,N.A,Talktime of Rs. 455 for Rs. 444 recharge by Tata Indicom
15413,510,545,N.A,Talktime of Rs. 545 for Rs. 510 recharge by Tata Indicom
15414,750,750,N.A,Talktime of Rs. 750 for Rs. 750 recharge by Tata Indicom
15415,1000,1000,N.A,Talktime of Rs. 1000 for Rs. 1000 recharge by Tata Indicom
15416,1010,1180,N.A,Talktime of Rs. 1180 for Rs. 1010 recharge by Tata Indicom
15417,2010,2350,N.A,Talktime of Rs. 2350 for Rs. 2010 recharge by Tata Indicom
