id,cost,talktime,validity,comments
17867,22,,28 days,450 mins of Local V2V from 11pm to 8am.
17868,23,,84 days,"Call all local & Std Mobile calls @ 1.3p/sec, all local & Std landline calls @2.5P/sec Landline @ 2p/sec"
17869,34,,28 days,Local mobile to mobile calls @50p/min
17870,39,,28 days,Local calls @35p/min 
17871,49,,28 days,Local mobile to mobile calls @45p/min
17872,51,,28 days,Local Mobile calls at 40p/min. First 60 sec of local mobile calls of the day chargeable @1.5P/sec
17873,64,,28 days,Local Mobile V2V calls @15P/min
17874,71,,28 days,Local@ 45p/min & STD Calls @ 40p/min
17875,72,,28 days,All local & STD mobile calls @ 35p/min
17876,77,,28 days,Local Mobile V2V calls @10P/min
17877,79,,56 days,Local calls @35p/min
17878,93,,45 days,All local & STD mobile calls @ 30p/min
17879,101,,56 days,Local mobile calls at 45p/min
17880,115,,15 days,200 Local & STD minutes
17881,156,,180 days,"All local & STD mobile calls @60p/min. All local & STD landline calls @Re1/min, In Roaming, all incoming calls@45p/min & outgoing calls @70p/min. Incoming on National Roaming free with effect from 30th Oct16"
17882,158,,180 days,All local & STD mobile calls @75p/min & local & STD landline calls @ Re1/min
17883,389,,28 days,Unlimited local Vodafone to Vodafone mobile calls
17884,659,,28 days,Unlimited all local mobile calls subject to maximum of 5000 local minutes
17885,859,,28 days,Unlimited all local & STD mobile calls subject to maximum of 5000 minutes
