id,cost,talktime,validity,comments
17785,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Vodafone
17786,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Vodafone
17787,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Vodafone
17788,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Vodafone
17789,60,47.85,N.A,Talktime of Rs. 47.85 for Rs. 60 recharge by Vodafone
17790,70,56.32,N.A,Talktime of Rs. 56.32 for Rs. 70 recharge by Vodafone
17791,80,64.8,N.A,Talktime of Rs. 64.8 for Rs. 80 recharge by Vodafone
17792,90,73.27,N.A,Talktime of Rs. 73.27 for Rs. 90 recharge by Vodafone
17793,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Vodafone
17795,130,107.17,N.A,Talktime of Rs. 107.17 for Rs. 130 recharge by Vodafone
17796,150,124.12,N.A,Talktime of Rs. 124.12 for Rs. 150 recharge by Vodafone
17797,160,132.59,N.A,Talktime of Rs. 132.59 for Rs. 160 recharge by Vodafone
17798,190,158.02,N.A,Talktime of Rs. 158.02 for Rs. 190 recharge by Vodafone
17801,240,200.39,N.A,Talktime of Rs. 200.39 for Rs. 240 recharge by Vodafone
17802,250,235,N.A,Talktime of Rs. 235 for Rs. 250 recharge by Vodafone
