id,cost,talktime,validity,comments
820,5,,1 day,Limited 2G Data upto 20 MB (Post mentioned Usage Customer will be throttled @ 64kbps)
822,14,,3 days,Limited 2G Data upto 85 MB (Post mentioned Usage Customer will be throttled @ 64kbps)
823,18,,3 days,Limited 2G Data upto 110 MB (Post mentioned Usage Customer will be throttled @ 64kbps)
825,26,,5 days,Limited 2G Data upto 120 MB (Post mentioned Usage Customer will be throttled @ 64kbps)
829,57,,12 days,Limited 2G Data upto 500 MB (Post Free Data Usage Customer will be charged @ 4p/10kb till the validity exists)
833,91,,28 days,Limited 2G Data upto 3 GB (Post Free Data Usage Customer will be charged @ 4p/10kb till the validity exists)
836,98,,21 days,Limited 2G Data upto 4 GB (Post Free Data Usage Customer will be charged @ 4p/10kb till the validity exists)
837,124,,28 days,Unlimited (Post 124 GB Customer will be throttled @ 64kbps)
840,148,,27 days,Limited 2G Data upto 28 GB (Post Free Data Usage Customer will be charged @ 4p/10kb till the validity exists)
842,169,,28 days,Unlimited 2G Data upto 1 GB (Post mentioned Usage Customer will be throttled @ 64kbps)
