id,cost,talktime,validity,comments
3409,345,345,28 days,100 Local Airtel SMS
3429,158,100,28 days,120 MB 3G Data
3444,2249,,28 days,Unlimited LOCAL + STD + ROAMING (MOBILE + LL) CALLS -- 7 GB 3G data --  100 SMS/DAY (LOCAL+NATIONAL) -- Wynk Music & Movie 
3459,399,,28 days,Unlimited ALL Local & STD calls -- 1.25 GB Data (For 4G HS 1GB/Day for 28 days) and 1.25GB Happy Hours night data(3AM to 5AM)
3460,499,,28 days,Unlimited All Local & STD calls -- 2 GB Data (For 4G HS 1.5GB/Day for 28 days)
3461,648,,28 days,Unlimited All Local & STD calls -- 3.5 GB Data (For 4G HS 2.5GB/Day for 28 days) -- T&C
3462,899,,28 days,Unlimited All Local & STD calls -- 6 GB Data (For 4G HS 3.5 GB/Day for 28 days)
3463,999,,28 days,Unlimited ALL Local & STD calls -- 7 GB Data (For 4G HS 2GB/Day for 28 days) and 7GB Happy Hours night data(3AM to 5AM)
3464,1198,,28 days,Unlimited All Local & STD calls -- 9 GB Data (For 4G HS 5GB/Day for 28 days)
3465,23,,1 day,Unlimited Local & STD Airtel Calls -- 100 MB (4G HS) / 50 MB (Other HS)
3466,54,,7 days,Unlimited Local & STD Airtel calls -- 250 MB (4G HS) / 50 MB (Other HS)
3467,93,,7 days,Unlimited Local & STD Airtel Calls & 100 Local & STD Mobile Mins -- 250 MB (4G HS) / 50 MB (Other HS)
3468,244,,28 days,"Unlimited Local + STD Airtel to Airtel Mobile calls -- 50 MB data.For 4G Handset+ 4G SIM,extra 1GB Data -- T&C apply"
