id,cost,talktime,validity,short description,long description
3557,10,7.47,N.A,Recharge of Rs. 10 by Airtel,Talktime of Rs. 7.47 for Rs. 10 recharge by Airtel
3559,20,14.95,N.A,Recharge of Rs. 20 by Airtel,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
3561,30,22.42,N.A,Recharge of Rs. 30 by Airtel,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
3563,40,30.9,N.A,Recharge of Rs. 40 by Airtel,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
3566,50,39.37,N.A,Recharge of Rs. 50 by Airtel,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
3567,60,47.85,N.A,Recharge of Rs. 60 by Airtel,Talktime of Rs. 47.85 for Rs. 60 recharge by Airtel
3569,70,56.32,N.A,Recharge of Rs. 70 by Airtel,Talktime of Rs. 56.32 for Rs. 70 recharge by Airtel
3572,80,75,N.A,Recharge of Rs. 80 by Airtel,Talktime of Rs. 75 for Rs. 80 recharge by Airtel
3574,90,85,N.A,Recharge of Rs. 90 by Airtel,Talktime of Rs. 85 for Rs. 90 recharge by Airtel
3576,100,81.75,N.A,Recharge of Rs. 100 by Airtel,Talktime of Rs. 81.75 for Rs. 100 recharge by Airtel
3579,140,135,N.A,Recharge of Rs. 140 by Airtel,Talktime of Rs. 135 for Rs. 140 recharge by Airtel
3581,150,124.12,N.A,Recharge of Rs. 150 by Airtel,Talktime of Rs. 124.12 for Rs. 150 recharge by Airtel
3583,250,208.86,N.A,Recharge of Rs. 250 by Airtel,Talktime of Rs. 208.86 for Rs. 250 recharge by Airtel
3584,330,276.66,N.A,Recharge of Rs. 330 by Airtel,Talktime of Rs. 276.66 for Rs. 330 recharge by Airtel
