id,cost,talktime,validity,short description,long description
11233,5,,1 hour,Recharge of Rs. 5 by Idea,Unlimited 2G for 1 Hour -- Overage: 4p/10Kb -- 
11235,15,,3 days,Recharge of Rs. 15 by Idea,90 MB Data -- Overage: 4p/10kb -- 
11236,15,,1 day,Recharge of Rs. 15 by Idea,Unlimited 2G for 1 Day -- Overage: 4p/10KB  -- 
11237,25,,5 days,Recharge of Rs. 25 by Idea,500 MB Data -- Overage: 4p/10kb -- User can get this benefit only once -- 
11238,27,,5 days,Recharge of Rs. 27 by Idea,155 MB Data -- Overage: 4p/10kb  -- 
11239,28,,3 days,Recharge of Rs. 28 by Idea,110 MB 4G/2G Data -- Overage: 4p/10kb -- 
11240,29,,28 days,Recharge of Rs. 29 by Idea,150 MB 2G Data (Freedom Pack) -- Overage: 4p/10 Kb
11241,32,,28 days,Recharge of Rs. 32 by Idea,100 MB 4G/2G (Freedom Pack) -- Overage: 4p/10kb
11242,46,,7 days,Recharge of Rs. 46 by Idea,250 MB 2G Data -- Overage: 4p/10 Kb
11243,48,,5 days,Recharge of Rs. 48 by Idea,200 MB 4G/2G -- Overage: 4p/10kb  -- 
11244,49,,1 day,Recharge of Rs. 49 by Idea,1 GB 4G/2G Data -- Overage: 4p/10kb
11245,58,,12 days,Recharge of Rs. 58 by Idea,330 MB 2G -- Overage: 4p/10kb  -- 
11246,62,,15 days,Recharge of Rs. 62 by Idea,Benefit upto 1 GB 4G/2G min 250 MB 4G/2G -- Overage: 4p/10kb
11247,68,,14 days,Recharge of Rs. 68 by Idea,390 MB 2G -- Overage: 4p/10kb -- 
11248,74,,30 days,Recharge of Rs. 74 by Idea,30 Paisa/Mb -- Overage: 30 Paisa/Mb
11249,75,,28 days,Recharge of Rs. 75 by Idea,380 MB 2G (Freedom Pack) -- Overage: 4p/10 Kb
11250,82,,28 days,Recharge of Rs. 82 by Idea,350 MB 2G + 350 MB 2G Night (Freedom Pack) -- Overage: 4p/10 Kb
11251,91,,11 days,Recharge of Rs. 91 by Idea,520 MB 2G -- Overage: 4p/10kb -- 
11252,92,,10 Days,Recharge of Rs. 92 by Idea,368 MB 4G/2G Data (Additional 14 GB 4G data + 656 MB 4G/2G data for selected customers) -- Overage: 4p/10kb --
11253,94,,5 days,Recharge of Rs. 94 by Idea,1 GB 4G/2G Data -- Overage: 4p/10kb -- 
11254,97,,14 days,Recharge of Rs. 97 by Idea,390 MB 4G/2G Data -- Overage: 4p/10kb  -- 
11255,98,,20 days,Recharge of Rs. 98 by Idea,560 MB 2G -- Overage: 4p/10kb -- 
11256,113,,28 days,Recharge of Rs. 113 by Idea,325 MB 4G/2G Data + 325 MB 4G/2G Night* (Feedom Pack) -- Overage: 4p/10kb
11257,124,,28 days,Recharge of Rs. 124 by Idea,500 MB 2G Data -- Overage: 4p/10kb
11258,136,,28 days,Recharge of Rs. 136 by Idea,450 MB 2G Data -- Overage: 4p/10kb
11259,148,,28 days,Recharge of Rs. 148 by Idea,500 MB 4G/2G Data -- Overage: 4p/10kb
11260,149,,28 days,Recharge of Rs. 149 by Idea,Unlimited 2G Data -- Overage: 4p/10Kb -- Speed Post Data Usage @ 40 Kbps (FUP limit at 1 GB)
11261,151,,7 days,Recharge of Rs. 151 by Idea,2 GB 4G/2G Data -- Overage: 4p/10kb
11262,155,,21 days,Recharge of Rs. 155 by Idea,1 GB 2G -- Overage: 4p/10kb
11263,175,,28 days,Recharge of Rs. 175 by Idea,1 GB 2G -- Overage: 4p/10kb
11265,246,,28 days,Recharge of Rs. 246 by Idea,2 GB 4G/2G data + 2 GB 4G/2G additional data -- Overage: 4p/10kb
11266,247,,28 days,Recharge of Rs. 247 by Idea,1 GB 4G/2G + 1 GB 4G -- Overage: 4p/10kb  -- 
11267,295,,28 days,Recharge of Rs. 295 by Idea,1.3GB 4G/2G data + 1.3GB 4G data. Upto 10GB 4G/2G data + 10 GB 4G data subject to time of recharge -- Overage: 4p/10kb
11270,348,,28 days,Recharge of Rs. 348 by Idea,2.5 GB 4G/2G Data -- Overage: 4p/10kb
11273,447,,28 days,Recharge of Rs. 447 by Idea,2 GB 4G/2G + 2 GB 4G -- Overage: 4p/10kb -- 
11274,448,,28 days,Recharge of Rs. 448 by Idea,3.5 GB 4G/2G Data -- Overage: 4p/10kb
11275,485,,28 days,Recharge of Rs. 485 by Idea,"Instant 4 GB 4G/2G Data -- For 6 Months, enjoy 1 GB 4G/2G data (28 Days) @Rs.122 -- Overage: 4p/10kb on 4G and 4p/10kb on 2G"
11276,496,,28 days,Recharge of Rs. 496 by Idea,5 GB 4G/2G data + 5 GB 4G/2G additional data -- Overage: 4p/10kb
11277,499,,28 days,Recharge of Rs. 499 by Idea,2.25 GB 4G/2G Data -- Overage: 4p/10kb
11279,597,,28 days,Recharge of Rs. 597 by Idea,3 GB 4G/2G + 3 GB 4G Data -- Overage: 4p/10kb  -- 
11280,648,,28 days,Recharge of Rs. 648 by Idea,5.5GB 4G/2G Data -- Overage: 4p/10kb
11282,749,,28 days,Recharge of Rs. 749 by Idea,"Instant 7 GB 4G/2G data benefit (28 Days) -- For next 6 months get 1 GB 4G/2G data (28 days) @ Just Rs 103, 2.5 GB 4G/2G data (28 Days) @ Just Rs253 -- Overage: 4p/10kb on 4G and 4p/10kb on 2G"
11283,797,,28 days,Recharge of Rs. 797 by Idea,5 GB 4G/2G + 5 GB 4G -- Overage: 4p/10kb -- FUP limit: Speed post data usage @ 64Kbps  -- 
