id,cost,talktime,validity,short description,long description
14133,8,,1 day,Recharge of Rs. 8 by RelianceGSM,Local & STD Mobile Calls @ 1.2p/2s
14134,9,,30 days,Recharge of Rs. 9 by RelianceGSM,All Local and STD Calls 1p/2Secs
14135,19,,90 days,Recharge of Rs. 19 by RelianceGSM,All Local and STD Calls 1p/2Secs
14136,37,,28 days,Recharge of Rs. 37 by RelianceGSM,Local Mobile Calls @ 1.2p/2s 
14137,42,,15 days,Recharge of Rs. 42 by RelianceGSM,All Local & STD Calls@1.2P/2S
14138,47,,28 days,Recharge of Rs. 47 by RelianceGSM,Local & STD Mobile Calls @ 1.2p/2s
14139,72,,30 days,Recharge of Rs. 72 by RelianceGSM,All Local & STD Calls@1.2P/2S
14140,75,,28 days,Recharge of Rs. 75 by RelianceGSM,8000 Sec Local & STD
14141,77,,84 days,Recharge of Rs. 77 by RelianceGSM,Local & STD Mobile Calls @ 1.2p/2s
14142,153,,2 days,Recharge of Rs. 153 by RelianceGSM,"Unlimited Local & STD Reliance to Reliance Calls + 1000mins Other Local & STD Calls, Validity: a) 28 Days for AON <= 60 Days b) 15 Days for AON >60 Days and <= 90 Days c) Others between 2 Days to 28 Days [Dial *129# to know more]"
14143,158,,28 days,Recharge of Rs. 158 by RelianceGSM,18000 Sec All Local
