id,cost,talktime,validity,short description,long description
3750,6,,1 day,Recharge of Rs. 6 by Airtel,All Calls @ 1.6p / Sec
3751,8,,3 days,Recharge of Rs. 8 by Airtel,"All Local + STD calls @ 30p/Min, 1st 120 Local + STD Sec @ 2p/sec)"
3752,13,,27 days,Recharge of Rs. 13 by Airtel,L+N Mobile Calls @ 45p/Min 
3753,16,,27 days,Recharge of Rs. 16 by Airtel,L+N Mobile Calls @ 1p/Sec
3754,18,,1 day,Recharge of Rs. 18 by Airtel,140 Local A2A Mins
3755,21,,1 day,Recharge of Rs. 21 by Airtel,1900 All Local+ STD Seconds
3756,24,,6 days,Recharge of Rs. 24 by Airtel,Local A2A Calls @ 10p/Min 
3757,31,,27 days,Recharge of Rs. 31 by Airtel,Local Mobile Calls @ 30p/Min
3758,38,,3 days,Recharge of Rs. 38 by Airtel,280 Local A2A Mins
3759,39,,8 days,Recharge of Rs. 39 by Airtel,L+N Mobile Calls @ 30p/Min
3760,42,,3 days,Recharge of Rs. 42 by Airtel,4000 All Local+ STD Seconds
3761,46,,27 days,Recharge of Rs. 46 by Airtel,Local A2A Calls @ 10p/Min 
3762,54,,7 days,Recharge of Rs. 54 by Airtel,100 All Local Mins
3763,56,,27 days,Recharge of Rs. 56 by Airtel,L+N Mobile Calls @ 30p/Min 
3764,59,,7 days,Recharge of Rs. 59 by Airtel,5500 All Local+ STD Seconds
3765,78,,7 days,Recharge of Rs. 78 by Airtel,560 Local A2A Mins
3766,94,,14 days,Recharge of Rs. 94 by Airtel,330 Local A2A Min
3767,96,,14 days,Recharge of Rs. 96 by Airtel,9000 All Local+ STD Seconds
3768,97,,14 days,Recharge of Rs. 97 by Airtel,200 All Local Mins
3769,99,,14 days,Recharge of Rs. 99 by Airtel,150 All Local + STD Min
3770,123,,14 days,Recharge of Rs. 123 by Airtel,29K Local A2A Sec
3771,136,,180 days,Recharge of Rs. 136 by Airtel,All local/STD mobile calls at 2p/sec and landline at 2.5p/sec
3772,194,,27 days,Recharge of Rs. 194 by Airtel,420 Local+STD Min
3773,197,,27 days,Recharge of Rs. 197 by Airtel,27000 Local+STD Sec
3774,199,,2 days,Recharge of Rs. 199 by Airtel,Unlimited All Local & STD calls -- TNC Apply
3775,249,,2 days,Recharge of Rs. 249 by Airtel,Unlimited Local Mobile Calls (TnC Apply)
3776,295,,56 days,Recharge of Rs. 295 by Airtel,Unlimited Local + STD A2A Calls. T&C Apply.
3777,299,,3 days,Recharge of Rs. 299 by Airtel,Unlimited All Local & STD calls -- TnC Apply
3778,347,,60 days,Recharge of Rs. 347 by Airtel,Unlimited Local + STD A2A Calls. T&C Apply.
3779,395,,75 days,Recharge of Rs. 395 by Airtel,Unlimited Local + STD A2A Calls. T&C Apply.
3780,494,,28 days,Recharge of Rs. 494 by Airtel,800 All Local+STD Min
3781,545,,90 days,Recharge of Rs. 545 by Airtel,Unlimited Local + STD A2A Calls. T&C Apply.
