id,cost,talktime,validity,short description,long description
6652,4,,1 day,Recharge of Rs. 4 by BSNL,20MB 2G/3G Data
6653,5,,1 day,Recharge of Rs. 5 by BSNL,2G/3G Data @9paise/MB (02-00hrs to 6-00 Hrs)
6654,14,,1 day,Recharge of Rs. 14 by BSNL,90 MB 2G/3G Data
6655,17,,1 day,Recharge of Rs. 17 by BSNL,110 MB 2G/3G
6656,31,,3 days,Recharge of Rs. 31 by BSNL,150 MB
6657,39,,5 days,Recharge of Rs. 39 by BSNL,200 MB
6658,46,,2 days,Recharge of Rs. 46 by BSNL,1 GB 2G/3G Data and beyond freebies volume based charging 5paisa/MB from 2-00 hrs to 6-00hrs. 
6659,56,,21 days,Recharge of Rs. 56 by BSNL,250 MB 2G/3G
6660,63,,28 days,Recharge of Rs. 63 by BSNL,2G/3G Data @9paise/MB (02-00hrs to 6-00 Hrs)
6661,78,,3 days,Recharge of Rs. 78 by BSNL,2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6662,98,,10 days,Recharge of Rs. 98 by BSNL,1300MB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6663,103,,5 days,Recharge of Rs. 103 by BSNL,Free data 1GB and 140+ Channels provided by M s Digivive Services Pvt Ltd
6664,155,,17 days,Recharge of Rs. 155 by BSNL,1.5GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6665,179,,17 days,Recharge of Rs. 179 by BSNL,1 GB 2G/3G Data and No.of Free TV Channels equel to all Channels provided by Digivive Services Pvt. Ltd
6666,182,,17 days,Recharge of Rs. 182 by BSNL,1GB 2G/3G Data and 50 Free TV Channels by M s Apalya Technology
6667,198,,25 days,Recharge of Rs. 198 by BSNL,2.2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6668,291,,27 days,Recharge of Rs. 291 by BSNL,4GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6669,333,,56 days,Recharge of Rs. 333 by BSNL,"Triple Ace_333: 3 GB/Day 2G/3G Data, Post 3GB/day unlimited internet @ 80kbps"
6670,339,,26 days,Recharge of Rs. 339 by BSNL,Unlimited local/STD BSNL to BSNL + Local/STD BSNL to Others: 30 minutes/day and 25P/minutes after that 30 minutes/day -- Unlimited 2G/3G data (with FUP of 3 GB per day with no speed restriction and thereafter with speed restriction of 80kbps.)
6671,349,,26 days,Recharge of Rs. 349 by BSNL,DilKholkeBolSTV_349: Unlimited voice (Local/STD) in Home LSA -- Unlimited 2G/3G Data (speed reduced to 80kbps after 2.5 GB)
6672,378,,30 days,Recharge of Rs. 378 by BSNL,Unlimited (speed restricted to 80 kbps after 4 GB/day 2G/3G Data) -- On-net Unlimited Off-net 30 min/day
6673,395,,60 days,Recharge of Rs. 395 by BSNL,NehleperDehlaSTV_395: Unlimited 2G/3G Data (2 GB/Day.Speed reduced to 80kbps after 2 GB/day) -- Free 3000 Minutes On-net Voice (Local/STD) + Free 1800 Minutes Off-net Voice (Local/STD).(Callcharges after free calls 20ps/Min.)
6674,399,,30 days,Recharge of Rs. 399 by BSNL,"Unlimited 2G/3G data, Speed 80Kbps after 2 GB"
6675,443,,60 days,Recharge of Rs. 443 by BSNL,3 GB 2G/3G Data
6676,444,,90 days,Recharge of Rs. 444 by BSNL,"Chaukka_444: 4 GB/Day 2G/3G Data, Post 4GB/day unlimited internet @ 80kbps"
6677,548,,90 days,Recharge of Rs. 548 by BSNL,Unlimited (speed restricted to 80 kbps after 5 GB/day 2G/3G Data)
6678,549,,30 days,Recharge of Rs. 549 by BSNL,6 GB 2G/3G Data
6679,561,,90 days,Recharge of Rs. 561 by BSNL,8GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6680,597,,180 days,Recharge of Rs. 597 by BSNL,6GB 2G/3G Data
6681,629,,30 days,Recharge of Rs. 629 by BSNL,Data Unlimited and Speed 80Kbps after 3GB
6682,821,,120 days,Recharge of Rs. 821 by BSNL,12GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6683,1099,,30 days,Recharge of Rs. 1099 by BSNL,"Unlimited 2G/3G Data, without speed restriction"
6684,1197,,365 days,Recharge of Rs. 1197 by BSNL,14GB 2G/3G Data
6685,1498,,365 days,Recharge of Rs. 1498 by BSNL,36GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6686,1949,,270 days,Recharge of Rs. 1949 by BSNL,40GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6687,2399,,60 days,Recharge of Rs. 2399 by BSNL,Data Unlimited. Speed 80Kbps after 16GB
6688,2798,,365 days,Recharge of Rs. 2798 by BSNL,72GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6689,3998,,365 days,Recharge of Rs. 3998 by BSNL,110GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6690,4498,,365 days,Recharge of Rs. 4498 by BSNL,160GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
6691,139,,26 days,Recharge of Rs. 139 by BSNL,Unlimited Local/STD BSNL to BSNL voice calls -- 1 GB 2G/3G Data
