id,cost,talktime,validity,comments
11505,9,,1 day,700 Local & National Seconds -- 
11506,14,,2 days,45 Local idea to idea free minutes
11507,16,,28 days,All Mobile Calls (Local + STD) @1p/Sec
11508,17,,2 days,Unlimted Local Idea call free From 00- 06 AM
11509,18,,28 days,Local Mobile Calls @ 30p/Min (1st 120 Sec @ 2p/sec)
11510,19,,28 days,All calls @40p/min (1st 120 sec @ 2p/sec)
11511,24,,28 days,local Idea to Idea @20p/min ( First 120 local idea seconds Everyday would be charged @2p/sec)
11512,33,,28 days,All Local mobile calls @30p/min
11513,38,,7 days,100 Local idea to idea free minutes
11514,39,,6 days,2700 Seconds of Local & STD Calling Free -- 
11515,47,,28 days,Local Idea @ 10p/Min
11516,53,,7 days,3600 Seconds of Local & STD Calling Free
11517,54,,7 days,Free 75 All Local Mob minutes
11518,57,,28 days,Local + STD @ 30p/min
11519,61,,42 days,Local Idea calls @ 20p/min
11520,64,,7 days,250 Local idea to idea free minutes
11521,68,,10 days,Free 5000 Local & national seconds 
11522,95,,14 days,Free 200 All local Mob minutes
11523,96,,14 days,Free 9000 Local & National seconds
11524,109,,14 days,375 Local idea to idea free minutes
11525,119,,14 days,29000 Local Idea Seconds
11526,148,,28 days,"12000 local/STD seconds. Upto 17000 local/STD seconds, subject to time of recharge by subscriber"
11527,196,,28 days,Free 20000 Local & National seconds
11528,197,,28 days,925 Local idea minutes calls
11529,198,,7 days,Unlimited Local/STD calls
11530,251,,28 days,Unlimited Local Idea to Idea Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 500 mins in a day or 1200 mins in a week. -- This STV should not be used for any commercial activity. 
11531,296,,14 days,"Unlimited Local/STD calls -- This STV should not be used for any commercial activity. Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable."
11532,298,,28 days,Free 650 All Local Mob minutes
