id,cost,talktime,validity,comments
18134,5,,1 hour,Unlimited 2G data 
18136,13,,1 day,UNLIMITED 24Hours 2G DATA Internet
18137,21,,3 days,120 MB 2G Data
18138,29,,4 days,160 MB 2G Data
18139,33,,4 days,190 MB 2G Data
18140,41,,28 days,140 MB 2G Data
18141,58,,7 days,330 MB 2G Data
18142,61,,10 days,350 MB 2G Data
18143,68,,10 days,400 MB 2G Data
18144,76,,10 days,440 MB 2G Data
18145,96,,14 days,550 MB 2G Data
18146,155,,19 days,900 MB 2G Data
18147,178,,28 days,1 GB 2G Data
18148,196,,28 days,1.25 GB UL 2G Data
18149,211,,28 days,2GB 2G Data (1GB Day + 1GB Night)
18150,248,,28 days,3 GB UL 2G Data
18151,298,,56 days,2 GB 2G Data
18152,315,,28 days,4GB 2G Data
