id,cost,talktime,validity,short description,long description
1078,5,,1 day,Recharge of Rs. 5 by Aircel,Unlimited Local A2A calls
1079,9,,28 days,Recharge of Rs. 9 by Aircel,"A2A Local mobile calls @10p , other local /std mobile calls @25p"
1080,13,,28 days,Recharge of Rs. 13 by Aircel,"All Local Mobile calls @30p/min, 1st 60Sec of the day @1.2p/sec"
1081,15,,1 day,Recharge of Rs. 15 by Aircel,Unlimited Local calls
1082,17,,2 days,Recharge of Rs. 17 by Aircel,Unlimited Local/ STD Aircel to Aircel calls -- 
1083,18,,1 day,Recharge of Rs. 18 by Aircel,Unlimited Local/STD calls
1084,22,,28 days,Recharge of Rs. 22 by Aircel,Local calls @ 30p/m 
1085,23,,28 days,Recharge of Rs. 23 by Aircel,All Local Mobile calls @ 30p/min
1086,26,,56 days,Recharge of Rs. 26 by Aircel,Local A2A @10P/min
1087,31,,24 days,Recharge of Rs. 31 by Aircel,Local A2A calls@10p/m; Other local@30p/m
1088,42,,28 days,Recharge of Rs. 42 by Aircel,All Local Mobile calls @ 25p/min
1089,45,,56 days,Recharge of Rs. 45 by Aircel,All Local Mobile call @1p/2sec
1090,49,,10 days,Recharge of Rs. 49 by Aircel,Unlimited Local A2A calls
1091,53,,56 days,Recharge of Rs. 53 by Aircel,Local + STD 25p/min
1092,57,,84 days,Recharge of Rs. 57 by Aircel,"Local Aircel to Aircel @20p/Min,  Local Aircel to Mobile @30p/Min -- STD (m) @40p/Min"
1093,59,,28 days,Recharge of Rs. 59 by Aircel,120 Local +STD Minute
1094,61,,60 days,Recharge of Rs. 61 by Aircel,"Local A2A @ 15p/min, Local A2M @ 25p/min & STD(m) @ 60p/min"
1095,62,,60 days,Recharge of Rs. 62 by Aircel,Local Aircel to Aircel Calls @10paise/min
1096,76,,7 days,Recharge of Rs. 76 by Aircel,"5,000 Local A2A mins"
1097,79,,84 days,Recharge of Rs. 79 by Aircel,Local + STD Calls @1p/2sec
1098,89,,84 days,Recharge of Rs. 89 by Aircel,"A2A @25 p/m, A2M @25p/min -- STD A2A @30p/min -- Rest STD @60p/min"
1099,96,,11 days,Recharge of Rs. 96 by Aircel,Unlimited Local A2A
1100,102,,90 days,Recharge of Rs. 102 by Aircel,All Local/STD calls @ 25p/m
1101,159,,28 days,Recharge of Rs. 159 by Aircel,450 Local +STD Minute
1102,194,,28 days,Recharge of Rs. 194 by Aircel,Local +STD unlimited A2A
