id,cost,talktime,validity,comments
1031,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Aircel
1032,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Aircel
1033,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Aircel
1035,60,47.85,N.A,Talktime of Rs. 47.85 for Rs. 60 recharge by Aircel
1036,70,56.32,N.A,Talktime of Rs. 56.32 for Rs. 70 recharge by Aircel
1037,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Aircel
1038,110,90.22,N.A,Talktime of Rs. 90.22 for Rs. 110 recharge by Aircel
1039,120,98.69,N.A,Talktime of Rs. 98.69 for Rs. 120 recharge by Aircel
1040,130,107.17,N.A,Talktime of Rs. 107.17 for Rs. 130 recharge by Aircel
1041,150,147,N.A,Talktime of Rs. 147 for Rs. 150 recharge by Aircel
1042,200,166.49,N.A,Talktime of Rs. 166.49 for Rs. 200 recharge by Aircel
1043,300,251.24,N.A,Talktime of Rs. 251.24 for Rs. 300 recharge by Aircel
1044,400,335.98,N.A,Talktime of Rs. 335.98 for Rs. 400 recharge by Aircel
