id,cost,talktime,validity,short description,long description
11555,10,7.47,N.A,Recharge of Rs. 10 by Idea,Talktime of Rs. 7.47 for Rs. 10 recharge by Idea
11556,20,14.95,N.A,Recharge of Rs. 20 by Idea,Talktime of Rs. 14.95 for Rs. 20 recharge by Idea
11558,30,22.42,N.A,Recharge of Rs. 30 by Idea,Talktime of Rs. 22.42 for Rs. 30 recharge by Idea
11561,40,30.9,N.A,Recharge of Rs. 40 by Idea,Talktime of Rs. 30.9 for Rs. 40 recharge by Idea
11563,50,39.37,N.A,Recharge of Rs. 50 by Idea,Talktime of Rs. 39.37 for Rs. 50 recharge by Idea
11565,60,50,N.A,Recharge of Rs. 60 by Idea,Magic Recharge. Customer gets surprise talktime between Rs.50 to Rs.100
11567,70,56.32,N.A,Recharge of Rs. 70 by Idea,Talktime of Rs. 56.32 for Rs. 70 recharge by Idea
11569,80,64.8,N.A,Recharge of Rs. 80 by Idea,Talktime of Rs. 64.8 for Rs. 80 recharge by Idea
11571,90,73.27,N.A,Recharge of Rs. 90 by Idea,Talktime of Rs. 73.27 for Rs. 90 recharge by Idea
11573,100,81.75,N.A,Recharge of Rs. 100 by Idea,Talktime of Rs. 81.75 for Rs. 100 recharge by Idea
11575,110,101,N.A,Recharge of Rs. 110 by Idea,Magic Recharge. Customer gets surprise talktime between Rs.101 to Rs.150
11576,120,98.69,N.A,Recharge of Rs. 120 by Idea,Talktime of Rs. 98.69 for Rs. 120 recharge by Idea
11577,130,107.17,N.A,Recharge of Rs. 130 by Idea,Talktime of Rs. 107.17 for Rs. 130 recharge by Idea
11578,140,115.64,N.A,Recharge of Rs. 140 by Idea,Talktime of Rs. 115.64 for Rs. 140 recharge by Idea
11579,150,141,N.A,Recharge of Rs. 150 by Idea,Talktime of Rs. 141 for Rs. 150 recharge by Idea
11580,160,132.59,N.A,Recharge of Rs. 160 by Idea,Talktime of Rs. 132.59 for Rs. 160 recharge by Idea
11581,170,141.07,N.A,Recharge of Rs. 170 by Idea,Talktime of Rs. 141.07 for Rs. 170 recharge by Idea
11582,180,149.54,N.A,Recharge of Rs. 180 by Idea,Talktime of Rs. 149.54 for Rs. 180 recharge by Idea
11583,190,158.02,N.A,Recharge of Rs. 190 by Idea,Talktime of Rs. 158.02 for Rs. 190 recharge by Idea
11584,200,196,N.A,Recharge of Rs. 200 by Idea,Talktime of Rs. 196 for Rs. 200 recharge by Idea
11586,230,191.92,N.A,Recharge of Rs. 230 by Idea,Talktime of Rs. 191.92 for Rs. 230 recharge by Idea
11587,240,200.39,N.A,Recharge of Rs. 240 by Idea,Talktime of Rs. 200.39 for Rs. 240 recharge by Idea
11588,260,217.34,N.A,Recharge of Rs. 260 by Idea,Talktime of Rs. 217.34 for Rs. 260 recharge by Idea
11589,270,225.81,N.A,Recharge of Rs. 270 by Idea,Talktime of Rs. 225.81 for Rs. 270 recharge by Idea
11590,280,234.29,N.A,Recharge of Rs. 280 by Idea,Talktime of Rs. 234.29 for Rs. 280 recharge by Idea
11591,290,242.76,N.A,Recharge of Rs. 290 by Idea,Talktime of Rs. 242.76 for Rs. 290 recharge by Idea
11592,310,259.71,N.A,Recharge of Rs. 310 by Idea,Talktime of Rs. 259.71 for Rs. 310 recharge by Idea
11593,400,335.98,N.A,Recharge of Rs. 400 by Idea,Talktime of Rs. 335.98 for Rs. 400 recharge by Idea
11595,450,378.36,N.A,Recharge of Rs. 450 by Idea,Talktime of Rs. 378.36 for Rs. 450 recharge by Idea
11598,550,463.1,N.A,Recharge of Rs. 550 by Idea,Talktime of Rs. 463.1 for Rs. 550 recharge by Idea
11599,800,674.97,N.A,Recharge of Rs. 800 by Idea,Talktime of Rs. 674.97 for Rs. 800 recharge by Idea
11600,900,674.97,N.A,Recharge of Rs. 900 by Idea,Talktime of Rs. 674.97 for Rs. 900 recharge by Idea
11601,1500,1268.19,N.A,Recharge of Rs. 1500 by Idea,Talktime of Rs. 1268.19 for Rs. 1500 recharge by Idea
11602,2500,2115.64,N.A,Recharge of Rs. 2500 by Idea,Talktime of Rs. 2115.64 for Rs. 2500 recharge by Idea
11603,5000,4234.29,N.A,Recharge of Rs. 5000 by Idea,Talktime of Rs. 4234.29 for Rs. 5000 recharge by Idea
11645,225,,28 days,Recharge of Rs. 225 by Idea,"Magic Recharge - Upto 10GB 2G, Minimum 1.5GB -- Overage: 4p/10Kb"
11690,294,,28 days,Recharge of Rs. 294 by Idea,"Magic Recharge - Upto 10 GB 3G Data, Minimum 1.25 GB 3G/4G Data -- Overage: 4p/10KB"
