id,cost,talktime,validity,short description,long description
8829,6,,1 day,Recharge of Rs. 6 by Docomo,35 MB 2G Data
8830,15,,3 days,Recharge of Rs. 15 by Docomo,90 MB 2G Data
8831,32,,5 days,Recharge of Rs. 32 by Docomo,175 MB 2G Data
8832,56,,9 days,Recharge of Rs. 56 by Docomo,300 MB 2G Data
8833,95,,15 days,Recharge of Rs. 95 by Docomo,500 MB 2G data
8834,98,,28 days,Recharge of Rs. 98 by Docomo,1 GB Data
8835,126,,21 days,Recharge of Rs. 126 by Docomo,600 MB 2G data
8836,129,,28 days,Recharge of Rs. 129 by Docomo,3GB 2G data
8837,149,,28 days,Recharge of Rs. 149 by Docomo,1 GB 2G per day Data
8838,169,,30 days,Recharge of Rs. 169 by Docomo,1.5 GB 2G data
8839,239,,28 days,Recharge of Rs. 239 by Docomo,4 GB 2G data
8840,268,,28 days,Recharge of Rs. 268 by Docomo,5 GB 2G data
8842,501,,365 days,Recharge of Rs. 501 by Docomo,5 GB 2G data
