id,cost,talktime,validity,comments
18315,9,,1 day,35 MB 3G/4G Data 
18316,17,,1 hour,Truly Unlimited 3G/4G data for 1 hour -- 
18317,26,,1 Night,Unlimited 3G/4G Night data (1am to 6am)
18318,29,,30 days,75 MB 3G/4G data
18319,37,,4 days,150 MB 3G/4G Data 
18320,47,,1 day,1 GB 3G/4G Data
18321,48,,5 days,200 MB 3G/4G Data 
18322,68,,7 days,275 MB 3G/4G Data 
18323,94,,10 days,375 MB 3G/4G Data 
18324,98,,5 days,1 GB 3G/4G Data
18325,119,,28 days,300 MB 3G/4G Data 
18326,147,,14 days,575 MB 3G/4G Data 
18327,153,,15 days,600 MB 3G/4G Data 
18328,179,,20 days,700 MB 3G/4G Data 
18329,186,,28 days,400 MB 3G/4G internet day and night + 400 Mb night (12AM-6 AM)
18330,251,,28 days,800 MB 3G/4G Data 
18331,265,,28 days,2 GB 3G/4G Data 
18332,348,,28 days,1 GB/Day 4G/3G Data -- Unlimited ALL Mobile & Landline Calls. Limited Period Offer for ALL Handsets
18333,349,,28 days,3 GB 3G/4G Data 
18334,375,,56 days,900 MB 3G/4G Data 
18335,449,,28 days,4 GB 3G/4G Data
18336,497,,28 days,3.5 GB 3G/4G Data 
18337,498,,28 days,2 GB 3G/4G Data 
18338,545,,28 days,2 GB 3G/4G internet day and night + 2 GB night (12AM-6 AM)
18339,649,,28 days,6.5 GB 3G/4G Data 
18340,651,,28 days,2.5 GB 3G/4G Data 
18341,697,,28 days,3 GB 3G/4G Unlimited Data 
18342,749,,28 days,3 GB 3G/4G Data -- Advance Rental Pack
18343,797,,28 days,3 GB 3G/4G internet day and night + 3 GB night (12AM-6 AM)
18344,849,,28 days,3.5 GB 3G/4G Unlimited Data 
18345,851,,28 days,7 GB 3G/4G Data 
18346,897,,28 days,4 GB 3G/4G Unlimited Data 
18347,949,,28 days,4 GB 3G/4G internet day and night + 4 GB night (12AM-6 AM)
18348,999,,28 days,11 GB 3G/4G Data 
18349,1096,,28 days,5 GB 3G/4G internet day and night + 5 GB night (12AM-6 AM)
18350,1097,,28 days,Unlimited 5 GB 3G/4G Data 
18351,1199,,28 days,12 GB 3G/4G Data 
18352,1249,,28 days,6 GB 3G/4G Unlimited Data 
18353,1251,,28 days,6 GB 3G/4G internet day and night + 6 GB night (12AM-6 AM)
18354,1499,,28 days,15 GB 3G/4G Data 
18355,1501,,28 days,15 GB 3G/4G data 
18356,1549,,28 days,Unlimited 8 GB 3G/4G Data 
18357,1852,,28 days,10 GB 3G/4G internet day and night + 10 GB night (12AM-6 AM) 
18358,1999,,28 days,20 GB 3G/4G Data 
18359,3345,,28 days,20 GB 3G/4G internet day and night + 20 GB night (12AM-6 AM) 
18360,23,,1 day,"Unlimited local + std V2V calls -- 100 MB 3G/4G Data (4G Handset), 50 MB for Other Handset "
18361,45,,7 days,"Unlimited local + std V2V calls -- 250 MB 3G/4G Data (4G Handset), 50 MB for Other Handset "
18362,88,,7 days,"Unlimited local + std V2V + 100 Min V2O local +std calls -- 250 MB 3G/4G Data (4G Handset), 50 MB for Other Handset"
18363,148,,28 days,Unlimited all V2V calls -- 4G/3G data (300 MB data for 4G handsets & 50 MB data for Non 4G H/S)
18364,599,,28 days,Unlimited Local V2V Onnet Mobile -- 1 GB 3G/4G Data 
