id,cost,talktime,validity,comments
18240,351,351,N.A,Full Talktime and 10 V2V Night Minutes. Night Minutes Valid for 10 days -- Please check with customer care before recharging as some users have reported that they got only 312 talktime.
18241,399,399,N.A,Full Talktime and 1 Local SMS. SMS Valid 1 Day
18243,501,501,N.A,10 V2V Night Minutes. Night Minutes Valid for 10 days
18246,786,786,N.A,"Full Talk time &, ISD calling for Kuwait, Bahrain, Qatar, Saudia Arabia, UAE @ 14p/sec and US, Canada @ 6p/sec for 56 days"
18248,1001,1001,N.A,Full Talktime and 10 V2V Night Minutes. Night Minutes Valid for 10 days
18253,19,14.2,N.A,1 Local SMS. SMS Valid 1 Day
18256,35,26.66,N.A,1 Local SMS. SMS Valid 1 Day
18259,55,43.61,N.A,1 Local SMS. SMS Valid 1 Day
18290,106,25,28 days,"250 MB data  -- Special features included: call 1 local Vodafone buddy @10p/min, option of 60MB data loan -- T&C Apply"
18291,181,30,28 days,500 MB data -- Special features included: call 1 local Vodafone buddy @10p/min -- option of 60 MB data loan -- T&C Apply
18292,301,50,28 days,1536 MB data -- Special features included: call 1 local Vodafone buddy @10p/min -- option of 60 MB data loan -- T&C Apply
18306,96,,14 days,550 MB 2G Data --  FREE Caller Tune for 30 days
18311,211,,28 days,1 GB 2G Data Day + extra 1 GB night (12AM -6AM)
18314,315,,28 days,2 GB Day + extra 2 GB night (12AM -6AM)
