id,cost,talktime,validity,comments
1111,254,254,28 days,UL 2G Data
1115,749,749,81 days,"Local A2A @10p/min, Local A2O @30p/Min"
1127,147,100,27 days,"Local A2A @ 10p/m & Local A2M @ 30p/m + 100TT (DA, 7 day Val)"
1129,195,100,27 days,Unlimited 2G Data + Rs.100 DA Talktime valid for 7 days
1130,1947,1500,365 days,A2A10p Local 30p + STD @35p
1131,27,10,27 days,All STD Mobile Calls@35p/m + Rs.10 DA TT
1132,85,50,27 days,"All Local Mobile 30p+ 50 TT (DA, 7 day Val)"
1133,93,50,27 days,"LA2A 20Ps/Min L A2M 40ps+50 TT (DA, 7 day Val)"
1134,97,50,27 days,"All Local/STD calls @ 25p +50 TT (DA, 7 day Val)"
1135,115,70,27 days,"L A2A 10ps+70 TT (DA, 7 day Val)"
1155,41,,5 Nights,"FREE Local/STD Night Calls (Mobile & Landline) + 1GB/night (Night hours 11PM to 6AM) -- This STV should not be used for any Commercial Activity, in which case the pack will be deactivated without further notice. Also, post 200 mins/day, 30p/min applies. Commercial Activity will mean customers using the said product for calling 100 or more unique callers in a week or 1000 mins in a week"
1156,78,,4 days,"Free Local + STD calls (Mobile & Landline) -- This STV should not be used for any Commercial Activity, in which case the pack will be deactivated without further notice. Also, post 300 mins/day, 30p/min applies. Commercial Activity will mean customers using the said product for calling 100 or more unique callers in a week or 1200 mins in a week -- 1 GB/Day"
1158,786,,70 days,"Free All calls -- This STV should not be used for any Commercial Activity, in which case the pack will be deactivated without further notice. Also, post 300 mins/day, 30p/min applies. Commercial Activity will mean customers using the said product for calling 100 or more unique callers in a week or 1200 mins in a week -- 1 GB/Day Data"
