id,cost,talktime,validity,short description,long description
4041,47,,1 Night,Recharge of Rs. 47 by Airtel,1 GB 4G/3G Night Internet (00:00hrs to 06:00hrs)
4042,93,,2 days,Recharge of Rs. 93 by Airtel,2GB 4G/3G/2G (This recharge cannot be used to carry forward existing Data balance)*
4043,102,,27 days,Recharge of Rs. 102 by Airtel,400 MB 3G/4G Data
4044,108,,27 days,Recharge of Rs. 108 by Airtel,250 MB 3G/4G Data
4045,128,,28 days,Recharge of Rs. 128 by Airtel,1 GB 4G/3G Night (00;00hrs to 06;00hrs) -- Data share / cashback does not apply
4046,143,,7 days,Recharge of Rs. 143 by Airtel,1.5 GB 3G/4G (This recharge cannot be used to carry forward existing 3G balance). -- -- Data share / cashback does not apply
4048,348,,28 days,Recharge of Rs. 348 by Airtel,Unlimited Local + STD Airtel to Airtel mobile calls -- 1 GB 3G/4G Data
4049,349,,28 days,Recharge of Rs. 349 by Airtel,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply.
4050,358,,25 days,Recharge of Rs. 358 by Airtel,2 GB 4G/3G Data
4051,549,,28 days,Recharge of Rs. 549 by Airtel,Unlimited all Local + STD calls -- 2 GB/day 3G/4G data -- T&C apply.
4052,749,,28 days,Recharge of Rs. 749 by Airtel,Unlimited all Local + STD calls -- 3 GB/day 3G/4G data -- T&C apply.
4053,999,,28 days,Recharge of Rs. 999 by Airtel,Unlimited all Local + STD calls -- 4 GB/day 3G/4G data -- T&C apply.
4054,1495,,90 days,Recharge of Rs. 1495 by Airtel,15 GB for 3G handset & extra 15GB ( total 30GB 3G/4G ) on 4G handsets
4055,1497,,27 days,Recharge of Rs. 1497 by Airtel,"10 GB 4G/3G Data. Now for 1 year get 1 GB 4G/3G Data @ Rs.53, 2GB 4G/3G Data @ Rs.95 and 5GB 4G/3G Data @ Rs.265 -- Data share or cashback does not apply."
4056,148,,28 days,Recharge of Rs. 148 by Airtel,"300 MB data for 4G Handset, 50MB 3G/4G for others Handsets -- Free Airtel to Airtel (Local+STD) mobile calls. Roaming calls are charegable. (This recharge does not carry forward existing data balance)."
