id,cost,talktime,validity,short description,long description
6881,13,15,2 days,Recharge of Rs. 13 by BSNL,10 MB 2G/3G Data
6882,20,20,N.A,Recharge of Rs. 20 by BSNL,Full Talk value offer equal to Rs.20 from 15 to 20 Aug 2017. Other days talktime 14.95
6883,40,40,N.A,Recharge of Rs. 40 by BSNL,Full Talk value offer equal to Rs.40 from 15 to 20 Aug 2017. Other days talktime 30.9
6884,60,60,N.A,Recharge of Rs. 60 by BSNL,Full Talk value offer equal to Rs.60 from 15 to 20 Aug 2017. Other days talktime 47.85
6885,77,80,10 days,Recharge of Rs. 77 by BSNL,30 MB 2G/3G Data
6886,80,80,N.A,Recharge of Rs. 80 by BSNL,Full Talk value offer equal to Rs.80 from 15 to 20 Aug 2017. Other days talktime 64.8
6887,120,130,N.A,Recharge of Rs. 120 by BSNL,Talk value offer equal to Rs.130 from 15 to 20 Aug 2017. Other days talktime 98.69
6888,160,180,N.A,Recharge of Rs. 160 by BSNL,Talk value offer equal to Rs.180 from 15 to 20 Aug 2017. Other days talktime 132.59
6889,169,169,20 days,Recharge of Rs. 169 by BSNL,2 GB 2G/3G Data
6890,176,176,10 days,Recharge of Rs. 176 by BSNL,200 MB 2G/3G Data  -- Available for Freedom plan customers only
6891,177,180,15 days,Recharge of Rs. 177 by BSNL,50 MB 2G/3G Data
6892,188,220,14 days,Recharge of Rs. 188 by BSNL,Rs189 in main account + Rs31 in dedicated account -- 1 GB 2G/3G Data
6893,189,189,24 days,Recharge of Rs. 189 by BSNL,3 GB 2G/3G Data
6894,220,250,N.A,Recharge of Rs. 220 by BSNL,Talk value offer equal to Rs.250 from 15 to 20 Aug 2017. Other days talktime 220
6895,289,340,28 days,Recharge of Rs. 289 by BSNL,Rs289 in main account + Rs51 in dedicated account -- 1 GB 2G/3G data
6896,377,377,20 days,Recharge of Rs. 377 by BSNL,300 MB 2G/3G Data -- Available for Freedom plan customers only
6897,389,460,30 days,Recharge of Rs. 389 by BSNL,Rs389 in main account + Rs71 in dedicated account -- 1 GB 2G/3G data.
6898,577,577,30 days,Recharge of Rs. 577 by BSNL,1 GB 2G/3G Data  -- Available for Freedom plan customers only
6899,599,786,30 days,Recharge of Rs. 599 by BSNL,Talktime: Rs.507 in main account + Rs.279 in dedicated account (30 days) -- 10 on-net local SMS.
6901,1402,1402,30 days,Recharge of Rs. 1402 by BSNL,Rs.1402 Usage value in main account -- All national voice calls at 0.9p/sec -- 250 MB Data -- 250 SMS any net
6909,48,22,2 days,Recharge of Rs. 48 by BSNL,500 MB 2G/3G free Data and beyond freebies 5paisa/MB from 2-00 hrs to 6-00hrs.
6911,62,35,30 days,Recharge of Rs. 62 by BSNL,Local and STD on net Re 1/3 min and off net Rs 1.2/3 min
6941,71,20,30 days,Recharge of Rs. 71 by BSNL,Local Any Network 30ps per min -- 
6942,81,20,30 days,Recharge of Rs. 81 by BSNL,800 Minutes Local or STD Onnet Night (11PM to 06AM)
6943,148,25,30 days,Recharge of Rs. 148 by BSNL,1800 Minutes Local or STD Onnet Night(11PM to 06AM) and Rs25 usage value
6944,209,25,90 days,Recharge of Rs. 209 by BSNL,Local call to any net at 1paisa per 2 sec 
6945,213,50,90 days,Recharge of Rs. 213 by BSNL,Local any Network calls 30ps per min
6946,239,80,14 days,Recharge of Rs. 239 by BSNL,1 GB 2G/3G -- Charges after free usage: 3ps/10KB
6947,451,80,60 days,Recharge of Rs. 451 by BSNL,2 GB 2G/3G Data
6955,99,,25 days,Recharge of Rs. 99 by BSNL,Local calls from BSNL mobile to BSNL mobile @10ps/min -- Local calls BSNL mobile to LL/WLL/other NW @49 ps/min -- Local SMS at 40 ps/SMS.
6956,125,,30 days,Recharge of Rs. 125 by BSNL,Free 177 minutes anynet(Local/STD) -- Free data 200MB(2G/3G) -- Free SMS 100 anynet (Local/STD)
6958,224,,26 days,Recharge of Rs. 224 by BSNL,20000 Seconds Voice Calls (Local/STD) Free to any N/w in Home LSA -- 500 MB DATA Free & 200 SMS Free to any N/w (Local/National) in Home LSA and While on roaming.
7057,23,,30 days,Recharge of Rs. 23 by BSNL,Free call forwarding charges to any BSNL Landline or WLL with in LAS
7058,57,,30 days,Recharge of Rs. 57 by BSNL,Local Onnet video calls free 125 minutes
