id,cost,talktime,validity,short description,long description
11801,8,,1 day,Recharge of Rs. 8 by Idea,30 MB 3G/4G Data -- Overage: 4p/10KB
11802,34,,3 days,Recharge of Rs. 34 by Idea,135 MB 3G/4G Data -- Overage: 4p/10KB  -- 
11803,43,,28 days,Recharge of Rs. 43 by Idea,145 MB 3G/4G Data -- Overage: 4p/10KB
11804,45,,5 days,Recharge of Rs. 45 by Idea,180 MB 3G/4G Data -- Overage: 4p/10KB
11805,51,,28 days,Recharge of Rs. 51 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1491
11806,59,,6 days,Recharge of Rs. 59 by Idea,235 MB 3G/4G Data -- Overage: 4p/10KB  -- 
11808,76,,10 days,Recharge of Rs. 76 by Idea,300 MB 3G/4G Data -- Overage: 4p/10KB
11809,93,,5 days,Recharge of Rs. 93 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB
11810,95,,10 days,Recharge of Rs. 95 by Idea,380 MB 3G/4G Data -- Overage: 4p/10KB -- 
11811,96,,28 days,Recharge of Rs. 96 by Idea,2 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1491
11812,96,,28 days,Recharge of Rs. 96 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 741
11813,104,,28 days,Recharge of Rs. 104 by Idea,250 MB 3G/4G Data -- Overage: 4p/10KB
11815,124,,12 days,Recharge of Rs. 124 by Idea,500 MB 3G/4G Data -- Overage: 4p/10KB  -- 
11816,126,,28 days,Recharge of Rs. 126 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 491
11818,142,,7 days,Recharge of Rs. 142 by Idea,2 GB 3G/4G Data -- Overage: 4p/10KB
11819,152,,14 days,Recharge of Rs. 152 by Idea,600 MB 3G/4G Data -- Overage: 4p/10KB
11820,172,,28 days,Recharge of Rs. 172 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB
11821,194,,21 days,Recharge of Rs. 194 by Idea,775 MB 3G/4G Data -- Overage: 4p/10KB
11822,249,,28 days,Recharge of Rs. 249 by Idea,1.5 GB 3G/4G Data -- Overage: 4p/10KB -- 
11823,254,,14 days,Recharge of Rs. 254 by Idea,1 GB 3G/4G Data -- Overage: 4p/10KB
11824,256,,28 days,Recharge of Rs. 256 by Idea,5 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 1491
11825,256,,28 days,Recharge of Rs. 256 by Idea,2.5 GB 3G/4G Data -- Overage: 4p/10KB -- Available only after Long Term Plan Recharge of MRP 741
11828,354,,28 days,Recharge of Rs. 354 by Idea,2.5 GB 3G/4G Data -- Overage: 4p/10KB
11831,454,,28 days,Recharge of Rs. 454 by Idea,3.5 GB 3G/4G Data -- Overage: 4p/10KB
11832,491,,6 months,Recharge of Rs. 491 by Idea,Instant 4 GB 3G/4G Data  (28 Days) -- For 6 Months enjoy 1 GB 3G/4G data (28 Days) @Rs.126 -- Overage: 4p/10KB
11834,654,,28 days,Recharge of Rs. 654 by Idea,5.5 GB 3G/4G Data -- Overage: 4p/10KB
11835,741,,6 months,Recharge of Rs. 741 by Idea,"Instant 7 GB 3G/4G Data (28 Days) -- For 6 Months enjoy 1 GB 3G/4G data (28 Days) @Rs.96, 2.5 GB 3G/4G data (28 Days) @Rs.256 -- Overage: 4p/10KB"
11837,854,,28 days,Recharge of Rs. 854 by Idea,7.5 GB 3G/4G Data -- Overage: 4p/10KB
11838,994,,28 days,Recharge of Rs. 994 by Idea,10 GB 3G/4G Data -- Overage: 4p/10KB
11840,1491,,12 months,Recharge of Rs. 1491 by Idea,"Instant 15 GB 3G/4G Data (28 Days) -- For 12 Months enjoy 1 GB 3G/4G data (28 Days) @Rs.51, 2 GB 3G/4G data (28 Days) @Rs.96, 5 GB 3G/4G data (28 Days) @Rs.256 -- Overage: 4p/10KB"
