id,cost,talktime,validity,short description,long description
11741,25,18.69,N.A,Recharge of Rs. 25 by Idea,2 Local Idea Night Minutes (11pm to 6am) -- Tariff Validity (Days): 2
11743,36,27.51,N.A,Recharge of Rs. 36 by Idea,2 Local Idea Night Minutes (11pm to 6am) -- Tariff Validity (Days): 2
11745,48,37.68,N.A,Recharge of Rs. 48 by Idea,2 Local Idea Night Minutes (11pm to 6am) -- Tariff Validity (Days): 2
11747,55,43.61,N.A,Recharge of Rs. 55 by Idea,2 Local Idea Night Minutes (11pm to 6am) -- Tariff Validity (Days): 2
11748,58,46.15,N.A,Recharge of Rs. 58 by Idea,2 Local Idea Night Minutes (11pm to 6am) -- Tariff Validity (Days): 2
11749,60,51,N.A,Recharge of Rs. 60 by Idea,Surprise talktime between Rs.51 to Rs.100
11756,123,101.24,N.A,Recharge of Rs. 123 by Idea,2 Local Idea Night Minutes (11pm to 6am) -- Tariff Validity (Days): 2
11761,8,,10 days,Recharge of Rs. 8 by Idea,75 Local/National SMS Free every day from midnight to 6 AM -- 
11769,998,,30 days,Recharge of Rs. 998 by Idea,Unlimited local + 5 GB 2G Data + 100 SMS/day
11770,1098,,28 days,Recharge of Rs. 1098 by Idea,Unlimited on-net calls -- 3 GB 3G Data -- 100 SMS/day
11771,1298,,28 days,Recharge of Rs. 1298 by Idea,"Unlimited local, STD Calls -- 7 GB 2G Data -- 100 SMS/day -- Data is not unlimited and will be charged @ 4p/10Kb after free Usage -- SMS will be for Local/STD and will be charged @ Rs 1/1.5 post 100 SMS -- Free Roaming is on Idea network only"
11772,1749,,30 days,Recharge of Rs. 1749 by Idea,Unlimited local calls + 5 GB 3G Data + 100 SMS/day
11773,2249,,28 days,Recharge of Rs. 2249 by Idea,"Unlimited local, STD Calls -- 7 GB 3G Data -- 100 SMS/day -- Data is not unlimited and will be charged @ 4p/10Kb after free Usage -- SMS will be for Local/STD and will be charged @ Rs 1/1.5 post 100 SMS -- Free Roaming is on Idea network only"
11774,3249,,28 days,Recharge of Rs. 3249 by Idea,"Unlimited local, STD Calls -- 15 GB 3G Data -- 100 SMS/day -- Data is not unlimited and will be charged @ 4p/10Kb after free Usage -- SMS will be for Local/STD and will be charged @ Rs 1/1.5 post 100 SMS -- Free Roaming is on Idea network only"
11792,128,,28 nights,Recharge of Rs. 128 by Idea,1 GB Night data -- Overage: 4p/10KB
