id,cost,talktime,validity,short description,long description
8949,4,,1 day,Recharge of Rs. 4 by Docomo,Unlimited Local Tata to Tata calls
8950,5,,3 days,Recharge of Rs. 5 by Docomo,Local TATA to TATA mobile calls @10p/m -- Local TATA to Other mobile calls @25p/m & STD mobile calls @25p/m
8951,9,,56 days,Recharge of Rs. 9 by Docomo,All Local and STD calls @ 1p/sec 
8952,12,,56 days,Recharge of Rs. 12 by Docomo,All Local Tata to Tata calls at 10p/min 
8953,21,,28 days,Recharge of Rs. 21 by Docomo,"All Local Tata to Tata @10p/m, other local @30p/m "
8954,23,,7 days,Recharge of Rs. 23 by Docomo,Unlimited Local Tata to Tata calls -- Recharge applicable to selective retailers in selective towns
8955,35,,56 days,Recharge of Rs. 35 by Docomo,All Local Tata to Tata at 10p/m other local Mobiles at 30p/min
8956,38,,14 days,Recharge of Rs. 38 by Docomo,Unlimited Local Tata to Tata calls
8957,42,,28 days,Recharge of Rs. 42 by Docomo,Local On-Net mobile calls @ 10p/ min -- Local Off-Net mobile calls @ 25p/ min -- STD On-Net mobile calls @ 25p/ min -- STD Off-Net mobile calls @ 25p/ min 
8958,44,,4 days,Recharge of Rs. 44 by Docomo,Local + STD Mins: 66 (@ 60 sec. Pulse)
8959,46,,84 days,Recharge of Rs. 46 by Docomo,"All Local Tata to Tata @10p/m, other local Mobiles @30p/min"
8960,72,,56 days,Recharge of Rs. 72 by Docomo,All Local Tata to Tata @10p/m -- Other local & STD Mobiles @25p/min
8961,73,,28 days,Recharge of Rs. 73 by Docomo,Unlimited Local T2T calls 
8962,97,,30 days,Recharge of Rs. 97 by Docomo,Local + STD Mins: 200 (@ 60 sec. Pulse) 
8963,103,,28 days,Recharge of Rs. 103 by Docomo,Unlimited Local & STD Tata to Tata calls
8964,108,,84 days,Recharge of Rs. 108 by Docomo,"All Local Tata to Tata at 10p/m, other local & STD Mobiles at 25p/min"
8965,133,,56 days,Recharge of Rs. 133 by Docomo,Unlimited Local Tata to Tata calls
8966,148,,28 days,Recharge of Rs. 148 by Docomo,500 mins of usage in Local and STD calls 
8967,163,,20 days,Recharge of Rs. 163 by Docomo,Unlimited Local On-Net mobile calls from 10pm to 6pm (Fair usage capping 4000 mins).Local On-Net mobile calls @ 1p/ sec. from 6pm to 10pm -- Local Off-Net mobile calls @ 1.7p/sec -- STD On-Net mobile calls @ 1.7p/sec -- STD Off-Net mobile calls @ 1.7p/sec -- Landline Local/STD @ 2.5p/ sec
8968,188,,84 days,Recharge of Rs. 188 by Docomo,Unlimited Local Tata to Tata calls
8969,198,,28 days,Recharge of Rs. 198 by Docomo,1000 Local On-Net minutes & 300 all Local minutes (@ 60 sec. Pulse) 
8970,246,,28 days,Recharge of Rs. 246 by Docomo,1000 mins of usage in Local and STD calls
8971,888,,28 days,Recharge of Rs. 888 by Docomo,All Local mobile secs. to any Network @ 0p/ sec. (Fair usage Capping 5000 mins.) -- STD On-Net mobile calls @ 1.6p/ sec -- STD Off-Net mobile calls @ 1.6p/ sec
