id,cost,talktime,validity,comments
18436,5,,1 hour,Unlimited 2G data for 1 hour
18437,8,,1 day,"45 MB 2G data, Post free usage 4p/10KB"
18438,17,,2 days,"95 MB 2G data, Post free usage 4p/10KB"
18439,25,,4 days,"140 MB 2G data, Post free usage 4p/10KB "
18440,33,,28 days,"110 MB 2G data, Post free usage 4p/10KB"
18441,49,,7 days,"275 MB 2G data, Post free usage 4p/10KB"
18442,63,,7 days,"350 MB 2G data, Post free usage 4p/10KB"
18443,98,,14 days,"550 MB 2G data, Post free usage 4p/10KB"
18444,124,,14 days,"700 MB 2G data, Post free usage 4p/10KB"
18445,148,,21 days,"800 MB 2G data, Post free usage 4p/10KB"
18446,196,,28 days,Get assured benefit of 1.25GB and upto 3GB 2G Internet with hero recharge.
18447,199,,25 days,1.5 GB 2G Data. Post free usage speed throttled to 40 kbps
18448,209,,28 days,1.5 GB 2G Data. Post free usage speed throttled to 40 kbps
18449,225,,28 days,2GB 2G Data. Post free usage speed throttled to 40 kbps
18450,248,,28 days,2.5 GB 2G Data. Post free usage speed throttled to 40 kbps
