id,cost,talktime,validity,comments
18517,31,,28 days,ISD calls to Bangladesh @ Rs.1.8/MinChina @ Rs.4/minNepal @ Rs6.5/minUSA/CANADA @ Rs1/minMALAYSIA/SINGAPORE @ Rs2.5/minSAUDI ARABIA @ Rs6.25/minSRI LANKA @ Rs6.5/minUK @ Rs1.5/minUK - Mobile @ Rs7/minS.KOREA @ Rs4/minFrance/Russia/Romania/Greece/Spain @ Rs5/min
18518,91,,28 days,30 FREE minutes to S.E Asia (excl Phillipines)
18519,575,,1 day,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countriesenjoy FREE incoming calls, outgoing calls at Rs1/minData at Rs1/MB. Outgoing SMS at Rs.15/sms in all countries. Applicable on select networks."
18520,673,,10 days,"Incoming calls @ Rs 39/minData @ Rs 39/MBOutgoing within visited country @ Rs 19.5/min, Outgoing outside the visited country @ Rs 39/min SMS @ Rs 15/sms Applicable across popular destinations like Singapore, Thailand, Malaysia, USA, UK and UAE and more countries on select network operators only."
18521,1151,,2 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countriesenjoy FREE incoming calls, outgoing calls at Rs1/minData at Rs1/MB. Outgoing SMS at Rs.15/sms in all countries. Applicable on select networks."
18522,1684,,30 days,"Free 30 Incoming minutes In International Roaming post which Incoming calls@39 Rs/min, Data @ Rs 39/MBOutgoing within visited country @ Rs 19.5/min, Outgoing outside the visited country @ Rs 39/minSMS @ Rs 15/SMS."
18523,1725,,3 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countries, enjoy FREE incoming calls, outgoing calls at Rs1/min, Data at Rs1/MB. Outgoing SMS at Rs.15/sms in all countries. Applicable on select networks."
18524,2301,,4 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countriesenjoy FREE incoming calls, outgoing calls at Rs1/minData at Rs1/MB. Outgoing SMS at Rs.15/sms in all countries. Applicable on select networks."
18525,2875,,7 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countries,enjoy FREE incoming calls, outgoing calls at Rs1/minData at Rs1/MB. Outgoing SMS at Rs.15/sms in all countries. Applicable on select networks."
18526,4025,,10 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countriesenjoy FREE incoming calls, outgoing calls at Rs1/min, Data at Rs1/MB. Outgoing SMS at Rs.15/sms in all countries. Applicable on select networks."
18527,5751,,30 days,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! In 37 other countries, enjoy FREE incoming calls, outgoing calls at Rs1/minData at Rs1/MBOutgoing SMS at Rs.15/sms in all countries. Applicable on select networks."
