id,cost,talktime,validity,comments
18417,35,22.92,N.A,8 night Mins to vodafone mobile
18419,65,48.58,N.A,8 night Mins to vodafone mobile
18420,95,74.23,N.A,8 night Mins to vodafone mobile
18422,105,47,N.A,500MB 4G/3G data. No Validity for Talktime and 3 days data Validity
18424,115,91.34,N.A,8 night Mins to vodafone mobile
18426,185,151.19,N.A,8 night Mins to vodafone mobile
18427,255,211.04,N.A,8 night Mins to vodafone mobile
18428,295,123.46,90 days,All local V2V Calls at 10p/Min 
18429,375,166.71,90 days,All local V2V Calls at 10P/Min & local V2M Calls at 30p/Min 
18430,525,441.92,N.A,8 night Mins to vodafone mobile
18431,215,75.22,90 days,All local Calls at 30p/Min 
