id,cost,talktime,validity,comments
1251,6,,28 days,All Local Call @ 30p/min
1252,7,,28 days,Local A2A @10p/min
1253,8,,56 days,Local calls @20P
1254,11,,50 days,All Local Call @ 30p/min
1255,15,,1 day,UL Local A2A+Local A2O 100 min
1256,16,,28 days,All Local Call (A2A & A2O) @30p/Min
1257,18,,28 days,All Local Calls 1.2p/2sec
1258,19,,28 days,All Local + STD @25p/min
1259,21,,1 day,UL (L+S) A2A + (L+S) A2O 200 min
1260,24,,14 days,250 Local Aircel to Aircel Minutes
1261,25,,28 days,ALL Local+STD @25p/Min
1262,29,,14 days,70 Local Minutes
1263,33,,28 days,Local 100 min
1264,34,,90 days,All Local Call (A2A & A2O) @25p/Min
1265,39,,90 days,All Local (A2A & A2O) + STD (A2A & A2O) Call @25p/Min
1266,42,,7 days,Unlimited Local Aircel to Aircel
1267,65,,28 days,160 Local/STD minutes
1268,71,,12 days,Unlimited Local Aircel to Aircel
1269,88,,84 days,"A2A LOC 10p/min, A2O LOC 25p/min, All STD-30p/min"
1270,95,,28 days,Unlimited Local A2A calls
1271,97,,28 days,550 Local A2A Mins+280 Local A2O Mins
1272,129,,28 days,400 Local+STD Mins
1273,194,,14 days,Local + STD A2A Unlimited
1274,197,,28 days,1700 min (1000 local aircel + 700 other local min)
1275,225,,28 days,Unlimited A2A Loc mins and 500 Mins A2O loc
