id,cost,talktime,validity,comments
7059,13,15,2 days,10MB 2G/3G Data
7060,20,20,N.A,Full Talk value offer equal to Rs.20 from 15 to 20 Aug 2017. Other days talktime 14.95
7061,40,40,N.A,Full Talk value offer equal to Rs.40 from 15 to 20 Aug 2017. Other days talktime 30.9
7062,60,60,N.A,Full Talk value offer equal to Rs.60 from 15 to 20 Aug 2017. Other days talktime 47.85
7063,76,80,10 days,30MB 2G/3G Data
7064,80,80,N.A,Full Talk value offer equal to Rs.80 from 15 to 20 Aug 2017. Other days talktime 64.8
7065,120,130,N.A,Talk value offer equal to Rs.130 from 15 to 20 Aug 2017. Other days talktime 98.69
7066,160,180,N.A,Talk value offer equal to Rs.180 from 15 to 20 Aug 2017. Other days talktime 132.59
7067,176,176,10 days,200 MB 2G/3G free Data -- Available for Freedom plan customers only
7068,177,180,15 days,50MB 2G/3G Data
7069,189,220,14 days,Rs189 in main account + Rs31 in dedicated account -- 1 GB 2G/3G Data
7071,289,340,28 days,Rs289 in main account + Rs51 in dedicated account -- 1 GB 2G/3G data
7072,377,377,20 days,300 MB 2G/3G Data -- Available for Freedom plan customers only
7073,389,460,30 days,Rs389 in main account + Rs71 in dedicated account -- 1 GB 2G/3G data.
7074,500,500,N.A,"Applicable to  New Per Second, Per Minute plans only"
7075,577,577,30 days,1 GB 2G/3G Data  -- Available for Freedom plan customers only
7076,599,786,30 days,Talktime: Rs.507 in main account + Rs.279 in dedicated account (30 days) -- 10 on-net local SMS.
7077,1000,1000,N.A,"Applicable to  New Per Second, Per Minute plans only"
7079,1402,1402,30 days,Rs.1402 Usage value in main account + All national voice calls @0.9 paisa/sec --  250 MB data -- 250 SMS any net
7081,59,33,2 days,500 MB free and beyond freebies volume based data charges @ 5 paisa/MB from 0200 hours to 0600 hours
7082,111,90,20 days,70 Min Free Local/STD call on BSNL Network
7083,221,190,40 days,110 Min Free Local/STD call on BSNL Network
7084,258,220,30 days,110 free voice calls
7086,43,9,30 days,300 Minutes Local and STD Call on BSNL Network (11PM to 6AM) 
7087,47,20,21 days,Local OnNet at 20p/Min 
7088,49,11,30 days,Local or STD Onnet Night at 0.05 per Min
7089,72,20,30 days,Local Any Network 230p/Min
7090,82,20,30 days,800 Minutes Local & STD Call on BSNL Network (11PM to 6AM)
7091,84,24,60 days,All STD voice calls at Rs0.35 per Minute
7092,146,25,30 days,1800 Minutes Local & STD Call on BSNL Network (11PM to 6AM) 
7093,209,25,90 days,Local Call Anynet at 1 ps per 2 sec 
7097,39,,27 days,Local at 39p/min and STD at 49p/min. SMS 39p/sms and roaming outgoing calls at 49p/min
7099,66,,28 days,On-NET calls @25p/m & Off-NET calls @40p/m -- STD calls @49p/m --  SMS:  Local @25p & National @29p
7101,125,,30 days,Free 177 minutes anynet (local/STD/On-net/Off-net) in Home LSA -- Free data 200MB available in Home LSA and while Roaming -- Free SMS100 (local/National/On-net/Off-net) available in Home LSA and while Roaming
7103,222,,28 days,Local OnNET at 10p per minLocal OffNET at 30p per minSTD at 49p per minSMS(Local and National)at 25pRoaming OG at 49p per min
7104,26,,26 hours,U/L voice (local/STD) (Onnet/offnet) in Home LSA + 1 onnet local SMS
