id,cost,talktime,validity,comments
11986,7,,1 Hour,Unlimited 2G high speed -- Overage: 4p/10Kb -- 
11988,15,,2 days,85 MB Data -- Overage: 4p/10Kb -- 
11989,19,,3 days,110 MB Data -- Overage: 4p/10kb -- 
11990,25,,5 days,250 MB Data  (Trail Pack - Only Once) -- Overage: 4p/10Kb -- 
11991,31,,4 days,175 MB Data -- Overage: 4p/10Kb
11992,39,,28 days,140 MB 2G Data -- Overage: 4p/10Kb
11993,56,,9 days,320 MB -- Overage: 4p/10Kb
11994,65,,10 days,370 MB -- Overage: 4p/10Kb  -- 
11995,75,,11 days,430 MB Data -- Overage: 4p/10Kb
11996,95,,15 days,540 MB Data -- Overage: 4p/10Kb
11997,98,,12 days,560 MB Data  -- Overage: 4p/10Kb  -- 
11998,134,,21 days,765 MB Data -- Overage: 4p/10kb -- 
11999,135,,21 days,770 MB Data -- Overage: 4p/10Kb
12000,136,,18 days,540 MB Data -- Overage: 4p/10Kb -- 
12001,151,,15 days,860 MB Data -- Overage: 4p/10kb -- 
12002,171,,30 days,1GB -- Overage: 4p/10Kb -- 
12005,199,,28 days,"Unlimited 2G data, Speed from 1.25 GB 40kbps -- FUP limit: 40kbps post 1.25 GB -- "
12006,209,,28 days,1GB day+1GB Night -- Overage: 4p/10kb
12007,249,,28 days,"Unlimited 2G data,40kbps post 3GB -- FUP limit: 40kbps post 3 GB -- "
