id,cost,talktime,validity,short description,long description
12010,19,,1 hour,Recharge of Rs. 19 by Idea,Unlimited Data 4G/3G data -- Overage: 4p/10KB  -- 
12011,24,,3 days,Recharge of Rs. 24 by Idea,95 MB 4G/3G data -- Overage: 4p/10KB -- 
12012,26,,28 days,Recharge of Rs. 26 by Idea,250 MB 3G/4G -- Overage: 4p/10KB  -- 
12013,29,,28 days,Recharge of Rs. 29 by Idea,120MB 4G/3G/2G data -- Overage: 4p/10KB -- 
12014,33,,4 days,Recharge of Rs. 33 by Idea,130 MB 4G/3G data -- Overage: 4p/10KB -- 
12015,45,,5 days,Recharge of Rs. 45 by Idea,180 MB 4G/3G data -- Overage: 4p/10KB -- 
12016,48,,2 days,Recharge of Rs. 48 by Idea,1 GB 4G/3G data -- Overage: 4p/10KB -- 
12017,49,,28 days,Recharge of Rs. 49 by Idea,210 MB 4G/3G/2G data -- Overage: 4p/10KB  -- 
12018,51,,28 days,Recharge of Rs. 51 by Idea,500 MB 3G/4G -- Overage: 4p/10KB
12020,61,,15 days,Recharge of Rs. 61 by Idea,"Up to 1 GB 4G/3G, Minimum 250MB subject to time of recharge by subscriber  -- Overage: 4p/10KB"
12021,72,,10 days,Recharge of Rs. 72 by Idea,288 MB 4G/3G data -- Overage: 4p/10KB -- 
12023,97,,28 days,Recharge of Rs. 97 by Idea,1 GB 4G/3G data -- Overage: 4p/10KB
12024,99,,14 days,Recharge of Rs. 99 by Idea,400 MB 4G/3G data -- Overage: 4p/10KB
12025,103,,15 days,Recharge of Rs. 103 by Idea,415 MB 3G/4G Data -- Overage: 4p/10KB
12026,105,,28 days,Recharge of Rs. 105 by Idea,300 MB 3G 4G/3G data -- Overage: 4p/10KB
12027,106,,13 days,Recharge of Rs. 106 by Idea,320 MB 4G/3G data -- Overage: 4p/10KB
12029,122,,18 days,Recharge of Rs. 122 by Idea,385 MB 4G/3G data -- Overage: 4p/10KB
12030,123,,28 nights,Recharge of Rs. 123 by Idea,1 GB 4G/3G Data (applicable from 00:00:00 hours to 05:59:59 hours only) -- Overage: 4p/10KB -- 
12031,125,,14 days,Recharge of Rs. 125 by Idea,500 MB 4G/3G data -- Overage: 4p/10KB -- 
12032,145,,7 days,Recharge of Rs. 145 by Idea,2 GB 4G/3G data -- Overage: 4p/10KB  -- 
12033,147,,21 days,Recharge of Rs. 147 by Idea,590 MB 4G/3G data -- Overage: 4p/10KB
12034,149,,21 days,Recharge of Rs. 149 by Idea,580 MB 4G/3G data -- Overage: 4p/10KB
12035,155,,15 days,Recharge of Rs. 155 by Idea,620 MB 4G/3G data -- Overage: 4p/10KB  -- 
12036,156,,28 days,Recharge of Rs. 156 by Idea,625 MB 4G/3G Data -- Overage: 4p/10KB
12037,175,,28 days,Recharge of Rs. 175 by Idea,1 GB 4G/3G Data -- Overage: 4p/10KB -- 
12038,245,,28 days,Recharge of Rs. 245 by Idea,980 MB 4G/3G data -- Overage: 4p/10KB
12039,251,,28 days,Recharge of Rs. 251 by Idea,1.5 GB 4G/3G data -- Overage: 4p/10KB  -- 
12040,253,,28 days,Recharge of Rs. 253 by Idea,765 MB 4G/3G data -- Overage: 4p/10KB
12042,255,,28 days,Recharge of Rs. 255 by Idea,"1 GB/day Unlimited Data (for newly 4G upgraded handset), after consumption of daily data quota, speed will be 80kbps. -- FUP limit: 80kbps"
12043,294,,28 days,Recharge of Rs. 294 by Idea,1 GB Day + 1GB Night 4G/3G data --  Overage: 4p/10KB
12044,298,,28 days,Recharge of Rs. 298 by Idea,1.5 GB 4G/3G data. Up to 10GB data subject to time of recharge by subscriber --  Overage: 4p/10KB
12045,347,,28 days,Recharge of Rs. 347 by Idea,Unlimited Local + National calls -- 1 GB/day 3G/4G for 4G handset (Non 4G handset users will get 1 GB 4G/3G data) -- If recharge through web or app then extra talktime of Rs 17.35 Rs -- Overage: 4p/10KB
12046,349,,28 days,Recharge of Rs. 349 by Idea,1.5 GB 4G/3G data -- Overage: 4p/10KB  -- 
12047,351,,28 days,Recharge of Rs. 351 by Idea,2.5 GB 3G 4G/3G data -- Overage: 4p/10KB
12048,451,,28 days,Recharge of Rs. 451 by Idea,3.5 GB 4G/3G data -- Overage: 4p/10KB
12049,495,,28 days,Recharge of Rs. 495 by Idea,10 GB 4G/3G data Applicable Only on 4G Handsets -- Overage: 4p/10KB
12050,498,,28 days,Recharge of Rs. 498 by Idea,"Unlimited On Net local/STD mobile calls -- 3000 National Minutes -- 1 GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable.  Daily/weekly CUP of 300/1200Mins will be applicable on On-Net + Off-Net min. UL On-Net will be higher priority in charging followed by 3000mins in L+N bucket. -- This STV should not be used for any commercial activity. "
12051,499,,28 days,Recharge of Rs. 499 by Idea,1.46 GB 4G/3G data -- Overage: 4p/10KB
12052,551,,28 days,Recharge of Rs. 551 by Idea,4.5 GB 4G/3G data -- Overage: 4p/10KB
12053,597,,28 days,Recharge of Rs. 597 by Idea,2.5 GB 4G/3G data -- Overage: 4p/10KB
12054,649,,28 days,Recharge of Rs. 649 by Idea,5.5 GB 4G/3G data -- Overage: 4p/10KB
12055,799,,28 days,Recharge of Rs. 799 by Idea,"Unlimited On Net local/STD mobile calls -- 3000 National Minutes -- 3 GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable.  Daily/weekly CUP of 300/1200Mins will be applicable on On-Net + Off-Net min. UL On-Net will be higher priority in charging followed by 3000mins in L+N bucket. -- This STV should not be used for any commercial activity. "
12056,14,,1 day,Recharge of Rs. 14 by Idea,Unlimited idea to idea (Local + STD) -- 100 MB 4G/3G Data -- 
12057,43,,7 days,Recharge of Rs. 43 by Idea,Unlimited idea to idea (Local + STD) -- 250 MB 4G/3G Data -- 
12058,85,,7 days,Recharge of Rs. 85 by Idea,Unlimited idea to idea (Local + STD) + 100 Local+STD idea to other minutes -- 250 MB 4G/3G Data -- 
12059,252,,35 days,Recharge of Rs. 252 by Idea,"Unlimited L+N On-Net -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.10/min will be applicable -- 0.5 GB 3G/4G Data -- This STV should not be used for any commercial activity."
12060,348,,28 days,Recharge of Rs. 348 by Idea,"Unlimited Local/STD calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- 1 GB 4G/3G data (4G handset users will get 1 GB/day 4G/3G data, Customers newly upgrading to 4G Handset will be eligible to get additional data only after 48 hours of handset upgrade. Additional data can be used on 4G handset only) -- This STV should not be used for any commercial activity."
12061,398,,28 days,Recharge of Rs. 398 by Idea,"Unlimited Local+National Mintues -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable. -- 2GB 4G/3G Data -- This STV should not be used for any commercial activity."
12062,399,,28 days,Recharge of Rs. 399 by Idea,"Unlimited On Net local/STD mobile calls -- 3000 National Minutes -- 0.5 GB 3G/4G Data -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable.  Daily/weekly CUP of 300/1200Mins will be applicable on On-Net + Off-Net min. UL On-Net will be higher priority in charging followed by 3000mins in L+N bucket. -- This STV should not be used for any commercial activity. "
12063,549,,28 days,Recharge of Rs. 549 by Idea,"Unlimited local National Mintues -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable -- 5MB 3G/4G data (1 day) -- This STV should not be used for any commercial activity."
