id,cost,talktime,validity,short description,long description
14552,15,,3 days,Recharge of Rs. 15 by RelianceGSM,85 MB
14553,23,,1 day,Recharge of Rs. 23 by RelianceGSM,1 GB 2G Data (Same day)
14554,28,,28 days,Recharge of Rs. 28 by RelianceGSM,75 MB
14555,29,,5 days,Recharge of Rs. 29 by RelianceGSM,180 MB
14557,42,,6 days,Recharge of Rs. 42 by RelianceGSM,240 MB
14558,45,,28 days,Recharge of Rs. 45 by RelianceGSM,125 MB
14559,56,,7 days,Recharge of Rs. 56 by RelianceGSM,300 MB
14560,65,,10 days,Recharge of Rs. 65 by RelianceGSM,375 MB
14561,77,,7 days,Recharge of Rs. 77 by RelianceGSM,400 MB
14562,87,,10 days,Recharge of Rs. 87 by RelianceGSM,480 MB
14563,93,,7 days,Recharge of Rs. 93 by RelianceGSM,500 MB
14564,99,,15 days,Recharge of Rs. 99 by RelianceGSM,550 MB
14565,112,,14 days,Recharge of Rs. 112 by RelianceGSM,500 MB
14566,124,,18 days,Recharge of Rs. 124 by RelianceGSM,700 MB
14567,131,,14 days,Recharge of Rs. 131 by RelianceGSM,600 MB
14568,147,,28 days,Recharge of Rs. 147 by RelianceGSM,1 GB/ Day 2G Data
14569,148,,21 days,Recharge of Rs. 148 by RelianceGSM,850 MB
14570,151,,21 days,Recharge of Rs. 151 by RelianceGSM,600 MB
14573,178,,28 days,Recharge of Rs. 178 by RelianceGSM,1 GB
14576,223,,28 days,Recharge of Rs. 223 by RelianceGSM,4GB 2G Data. Unused data quota will be forfeited.
14577,242,,28 days,Recharge of Rs. 242 by RelianceGSM,5GB 2G Data. Unused data quota will be forfeited.
14578,248,,28 days,Recharge of Rs. 248 by RelianceGSM,2 GB
14579,282,,28 days,Recharge of Rs. 282 by RelianceGSM,2.5 GB
14584,365,,380 days,Recharge of Rs. 365 by RelianceGSM,1GB 2G Data Per Day
14585,398,,28 days,Recharge of Rs. 398 by RelianceGSM,5 GB
14586,489,,28 days,Recharge of Rs. 489 by RelianceGSM,7GB 2G Data. Unused data quota will be forfeited.
14590,599,,28 days,Recharge of Rs. 599 by RelianceGSM,10Gb 2G Data. Unused data quota will be forfeited.
14591,786,,180 days,Recharge of Rs. 786 by RelianceGSM,Get 1GB/ DAY 2G Data for 180 days
