id,cost,talktime,validity,comments
14532,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Reliance GSM
14534,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Reliance GSM
14535,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Reliance GSM
14536,40,30.9,N.A,Talktime of Rs. 30.9 for Rs. 40 recharge by Reliance GSM
14537,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Reliance GSM
14538,60,47.85,N.A,Talktime of Rs. 47.85 for Rs. 60 recharge by Reliance GSM
14540,70,57.32,N.A,Talktime of Rs. 57.32 for Rs. 70 recharge by Reliance GSM
14542,80,64.8,N.A,Talktime of Rs. 64.8 for Rs. 80 recharge by Reliance GSM
14543,90,73.27,N.A,Talktime of Rs. 73.27 for Rs. 90 recharge by Reliance GSM
14544,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Reliance GSM
14545,110,90.22,N.A,Talktime of Rs. 90.22 for Rs. 110 recharge by Reliance GSM
14546,120,98.69,N.A,Talktime of Rs. 98.69 for Rs. 120 recharge by Reliance GSM
14547,130,110.54,N.A,Talktime of Rs. 110.54 for Rs. 130 recharge by Reliance GSM
14549,400,335.98,N.A,Talktime of Rs. 335.98 for Rs. 400 recharge by Reliance GSM
