id,cost,talktime,validity,comments
8990,10,7.48,N.A,Talktime of Rs. 7.48 for Rs. 10 recharge by Tata DOCOMO
8991,20,14.94,N.A,Talktime of Rs. 14.94 for Rs. 20 recharge by Tata DOCOMO
8992,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Tata DOCOMO
8993,40,35,N.A,Talktime of Rs. 35 for Rs. 40 recharge by Tata DOCOMO
8994,50,39.38,N.A,Talktime of Rs. 39.38 for Rs. 50 recharge by Tata DOCOMO
8995,60,55,N.A,Talktime of Rs. 55 for Rs. 60 recharge by Tata DOCOMO
8996,100,81.74,N.A,Talktime of Rs. 81.74 for Rs. 100 recharge by Tata DOCOMO
8997,130,107.16,N.A,Talktime of Rs. 107.16 for Rs. 130 recharge by Tata DOCOMO
9000,250,211.86,N.A,Talktime of Rs. 211.86 for Rs. 250 recharge by Tata DOCOMO
9001,300,254.24,N.A,Talktime of Rs. 254.24 for Rs. 300 recharge by Tata DOCOMO
