id,cost,talktime,validity,short description,long description
16043,10,7.47,N.A,Recharge of Rs. 10 by Uninor,Talktime of Rs. 7.47 for Rs. 10 recharge by Telenor
16044,20,14.95,N.A,Recharge of Rs. 20 by Uninor,Talktime of Rs. 14.95 for Rs. 20 recharge by Telenor
16045,25,18.69,N.A,Recharge of Rs. 25 by Uninor,Talktime of Rs. 18.69 for Rs. 25 recharge by Telenor
16046,30,22.42,N.A,Recharge of Rs. 30 by Uninor,Talktime of Rs. 22.42 for Rs. 30 recharge by Telenor
16047,40,38,N.A,Recharge of Rs. 40 by Uninor,Talktime of Rs. 38 for Rs. 40 recharge by Telenor
16048,50,39.37,N.A,Recharge of Rs. 50 by Uninor,Talktime of Rs. 39.37 for Rs. 50 recharge by Telenor
16049,60,47.85,N.A,Recharge of Rs. 60 by Uninor,Talktime of Rs. 47.85 for Rs. 60 recharge by Telenor
16050,80,64.8,N.A,Recharge of Rs. 80 by Uninor,Talktime of Rs. 64.8 for Rs. 80 recharge by Telenor
16051,90,75.26,N.A,Recharge of Rs. 90 by Uninor,Talktime of Rs. 75.26 for Rs. 90 recharge by Telenor
16052,100,81.75,N.A,Recharge of Rs. 100 by Uninor,Talktime of Rs. 81.75 for Rs. 100 recharge by Telenor
16053,120,98.69,N.A,Recharge of Rs. 120 by Uninor,Talktime of Rs. 98.69 for Rs. 120 recharge by Telenor
16054,160,139.13,N.A,Recharge of Rs. 160 by Uninor,Talktime of Rs. 139.13 for Rs. 160 recharge by Telenor
16055,200,169.49,N.A,Recharge of Rs. 200 by Uninor,Talktime of Rs. 169.49 for Rs. 200 recharge by Telenor
16056,220,191.3,N.A,Recharge of Rs. 220 by Uninor,Talktime of Rs. 191.3 for Rs. 220 recharge by Telenor
16057,250,217.39,N.A,Recharge of Rs. 250 by Uninor,Talktime of Rs. 217.39 for Rs. 250 recharge by Telenor
16058,1000,869.57,N.A,Recharge of Rs. 1000 by Uninor,Talktime of Rs. 869.57 for Rs. 1000 recharge by Telenor
