id,cost,talktime,validity,comments
18584,16,,1 day,50 MB 3G/4G Data
18585,18,,1 hour,Unlimited 3G/4G Data
18586,27,,28 days,75 MB 3G/4G Data
18587,31,,1 day,Unlimited 3G/4G Night data from 1am to 6am
18588,46,,5 days,175 MB 3G/4G Data
18589,49,,1 day,1 GB 3G/4G Data 
18590,59,,6 days,225 MB 3G/4G Data
18591,76,,7 days,280 MB 3G/4G Data
18592,81,,1 day,1 GB 3G/4G Data (Applicable from 12am to 6am)
18593,98,,10 days,380 MB 3G/4G Data
18595,105,,5 days,1 GB 3G/4G Data
18596,129,,7 days,1 GB 3G/4G Data (Data applicable from 12am to 6am)
18597,147,,14 days,550 MB 3G/4G Data
18598,159,,15 days,635 MB 3G/4G Data
18599,165,,28 days,1 GB 4G/3G for 4G Phones (675MB 4G/3G for other Phones for 21 days)
18600,169,,28 days,1 GB 3G/4G Data (Applicable from 12am to 6am)
18602,189,,28 days,400MB 3G/4G + 400MB 3G/4G Night Data (12am 6am)
18603,194,,21 days,750 MB 3G/4G Data
18604,249,,28 days,1.5 GB 3G/4G internet
18605,254,,28 days,Local/STD Calls @ 30p/min -- 1 GB 4G/3G data per day
18606,259,,28 days,1.5 GB 3G/4G Data
18607,265,,28 days,4 GB 3G/4G for 4G Phones (2 GB 3G/4G for other Phones)
18608,297,,28 days,1.75 GB and upto 10 GB 3G/4G Internet
18609,299,,28 days,1 GB 3G/4G Data + 2 GB 3G/4G Night Data (12am 6am)
18610,305,,25 days,2 GB 3G/4G Data
18611,348,,28 days,1GB/Day 4G/3G Data -- Unlimited ALL Mobile & Landline Calls. Limited Period Offer for ALL Handsets
18612,349,,28 days,2.5 GB 3G/4G Data
18613,365,,28 days,6 GB 4G/3G for 4G Phones (3 GB 4G/3G for other Phones)
18614,449,,25 days,3.5 GB 3G/4G Data
18615,495,,28 days,10 GB 3G/4G for 4G Phones (5 GB 3G/4G for other Phones)
18616,497,,28 days,4 GB 3G/4G Data
18617,499,,28 days,2 GB 3G/4G Data -- For Next 6 Months Get 1 GB 4G/3G @Rs122 for 28days
18618,549,,28 days,2GB 3G/4G + 4GB 3G/4G Night Data (12am 6am)
18619,647,,28 days,3 GB Unlimited 3G/4G Internet. Post Quota Enjoy Unlimited Internet @64kbps Speed.
18620,649,,28 days,5.5 GB 3G/4G Data
18621,697,,28 days,14 GB 3G/4G Data for 4G Phones (7 GB 3G/4G for other Phones)
18622,749,,28 days,3 GB 3G/4G Data -- For Next 6 Months Get 1 GB 4G/3G @Rs94 for 28days
18623,799,,28 days,3G/4GB 3G/4G + 7GB 3G/4G Night Data (12am 6am)
18624,847,,28 days,"5 GB Unlimited 3G/4G Data, Post Quota Enjoy Unlimited Internet @64kbps Speed."
18625,849,,28 days,7.5 GB 3G/4G Data
18626,899,,28 days,8 GB 3G/4G Data
18627,949,,28 days,4GB 3G/4G + 8GB 3G/4G Night Data (12am 6am)
18628,999,,28 days,22GB 4G/3G for 4G Phones Days (11GB 4G/3G for other Phones)
18629,1098,,28 days,5 GB 3G/4G Data + 9 GB 3G/4G Night Data (12am 6am)
18630,1099,,28 days,"7 GB 3G/4G Unlimited Data, Post Quota Enjoy Unlimited Internet @64kbps Speed."
18631,1199,,28 days,12 GB 3G/4G Data
18632,1247,,28 days,"9 GB Unlimited 3G/4G Data, Post Quota Enjoy Unlimited Internet @64kbps Speed."
18633,1248,,28 days,6GB 3G/4G + 10GB 3G/4G Night Data (12am 6am)
18634,1347,,28 days,10 GB Unlimited 3G/4G Internet. Post Quota Enjoy Unlimited Internet @64kbps Speed.
18635,1499,,28 days,35 GB 3G/4G Data for 4G Phones -- 15 GB 3G/4G for other Phones
