id,cost,talktime,validity,short description,long description
18666,39,,28 days,Recharge of Rs. 39 by Vodafone,Special rates to Nepal/US/Canada/Gulf Countries
18667,575,,1 day,Recharge of Rs. 575 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18668,673,,10 days,Recharge of Rs. 673 by Vodafone,"Incoming calls @ Rs 39/min -- Data @ Rs 39/MB -- Outgoing within visited country @ Rs 19.5/min -- Outgoing outside the visited country @ Rs 39/min -- SMS @ Rs 15/sms -- Applicable across popular destinations like Singapore, Thailand, Malaysia, USA, UK and UAE and more countries on select network operators only."
18669,1151,,2 days,Recharge of Rs. 1151 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18670,1684,,30 days,Recharge of Rs. 1684 by Vodafone,Free 30 Incoming minutes In International Roaming post which Incoming calls@39 Rs/min -- Data @ Rs 39/MB -- Outgoing within visited country @ Rs 19.5/min -- Outgoing outside the visited country @ Rs 39/min -- SMS @ Rs 15/SMS.
18671,1725,,3 days,Recharge of Rs. 1725 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18672,1786,,30 days,Recharge of Rs. 1786 by Vodafone,"While roaming in Saudi Arabia, Free Incoming calls, Outgoing within Saudi Arabia & Outgoing to other International destination @ Rs 1/min -- SMS @ Rs 15/SMS -- Data @ Rs.1/MB."
18673,2301,,4 days,Recharge of Rs. 2301 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18674,2875,,7 days,Recharge of Rs. 2875 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18675,4025,,10 days,Recharge of Rs. 4025 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18676,5751,,30 days,Recharge of Rs. 5751 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
