id,cost,talktime,validity,comments
18532,55,55,5 days,Rs 55 + 5 SMS
18533,77,77,7 days,Rs 77 + 5 SMS
18534,111,111,11 days,Rs 111 + 5 SMS
18535,222,222,22 days,Rs 222 + 5 SMS
18542,2000,2000,N.A,10 SMS
18547,43,34.09,N.A,10 SMS
18559,786,785,N.A,Rs 785 + 10 SMS
18560,1001,1000,N.A,Rs 1000 + 10 SMS
18561,104,25,28 days,250 MB data -- Special features included: call 1 local Vodafone buddy @10p/min -- option of 60MB data loan -- T&C Apply
18562,179,30,28 days,"500 MB data -- Special features included: call 1 local Vodafone buddy @10p/min, option of 60 MB data loan -- T&C Apply"
18563,298,50,28 days,"1536 MB data -- Special features included: call 1 local Vodafone buddy @10p/min, option of 60MB data loan -- T&C Apply"
18581,496,,28 days,2 GB 3G/4G Data --  700 Local & STD MIN
18582,699,,28 days,4GB 3G/4G Data -- 1000 Loc STD MIN for 28 Days
18583,22,,1 day,Unlimited V2V L+S + 50 MB data
