id,cost,talktime,validity,comments
4378,496,,1 day,"Unlimited incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight"
4379,646,,1 day,Free benefits : 100Min incoming -- 500 MB Data -- 100 SMS/Day -- 100Min Loc/Call to India
4380,649,,1 day,"100min incoming,100min Local/call to India -- 500 MB data -- 100 SMS/day"
4381,779,,1 day,UK Smartpack: 300 MB Data Unlimited incoming 100 min India calls 100 SMS/DayTariff Calls: India/Local  @Rs3/mIntl.calls: @Rs39/mData: @Rs3/MB
4382,994,,1 day,"100min incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight. "
4383,997,,30 days,"IR Pack: 30 mins Free incoming. Thereafter charged Incoming @Rs19/min, Outgoing @Rs39/min Data @39p/10KB Rs15/SMS"
4384,998,,30 days,"IR Pack30 MB data Free. Thereafter charged @39p/10kb, Outgoing @Rs39/min, Incoming @Rs19/min. Rs15/SMS"
4385,1199,,10 days,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
4386,2499,,30 days,Free benefits:Unlimited incoming -- 5 GB data -- 100sms/Day -- 500 min loc/call to India
4387,2998,,10 days,Free benefits: 250 min incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
4388,2999,,10 days,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
4389,3995,,10 days,Free benefits: 250 min incoming -- 3 GB data -- 100 sms/Day -- 250 min local/call to India
4390,3998,,30 days,Free benefits: 500 mins incoming -- 5 GB data -- 100 sms/Day -- 500min loc/call to India
4391,3999,,30 days,Free benefits:Unlimited incoming -- 5 GB data -- 100sms/Day -- 500 min loc/call to India
4392,6999,,30 days,Free benefits:Unlimited incoming -- 5 GB data -- 100sms/Day -- 500 min loc/call to India
