id,cost,talktime,validity,comments
4350,6,,5 days,Local Airtel to Airtel Mobile calls @10p/minute
4351,7,,10 days,Local Mobile calls @30p/min
4352,13,,28 days,Local + STD Mobile calls @1p/sec.
4353,15,,2 days,90 Local Airtel to Airtel Mobile Minutes
4354,16,,28 days,Local Mobile @30p/min
4355,17,,14 days,Local Airtel to Airtel Mobile calls @10p/minute
4356,21,,28 days,Local Mobile @25p/min
4357,24,,3 days,6500 Local Airtel to Airtel Mobile seconds
4358,32,,28 days,Local Airtel to Airtel Mobile calls@10p/min
4359,35,,56 days,Local Mobile @30p/min
4360,39,,6 days,4300 Local+STD Mobile Seconds
4361,44,,28 days,Local + STD Mobile @30p/min
4362,49,,6 days,5500 Local Mobile Seconds
4363,54,,7 days,110 Local Mobile Minutes
4364,88,,14 days,10000 Local + STD Mobile Seconds
4365,96,,28 days,200 Local + STD All Minutes
4366,99,,3 days,Unlimited All Local and STD Airtel Mobile calls
4367,101,,28 days,15000 Local Mobile Seconds
4368,105,,28 days,11000 Local+STD Mobile Seconds
4369,109,,28 days,220 Local Mobile Minutes
4370,138,,28 days,"17,500 Local + STD Mobile Seconds"
4371,195,,28 days,560 Local Mobile Minutes
4372,197,,28 days,30000 Local Mobile Seconds
4373,198,,4 days,Unlimited Free Local Mobile calls -- TnC apply
4374,205,,28 days,500 Local + STD All Minutes
4375,299,,4 days,Unlimited Local & STD MOBILE FREE calling
