id,cost,talktime,validity,short description,long description
4252,10,7.47,N.A,Recharge of Rs. 10 by Airtel,Talktime of Rs. 7.47 for Rs. 10 recharge by Airtel
4253,20,14.95,N.A,Recharge of Rs. 20 by Airtel,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
4254,30,22.42,N.A,Recharge of Rs. 30 by Airtel,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
4255,40,30.9,N.A,Recharge of Rs. 40 by Airtel,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
4256,50,39.37,N.A,Recharge of Rs. 50 by Airtel,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
4258,70,56.32,N.A,Recharge of Rs. 70 by Airtel,Talktime of Rs. 56.32 for Rs. 70 recharge by Airtel
4259,80,64.8,N.A,Recharge of Rs. 80 by Airtel,Talktime of Rs. 64.8 for Rs. 80 recharge by Airtel
4260,90,73.27,N.A,Recharge of Rs. 90 by Airtel,Talktime of Rs. 73.27 for Rs. 90 recharge by Airtel
4261,100,81.75,N.A,Recharge of Rs. 100 by Airtel,Talktime of Rs. 81.75 for Rs. 100 recharge by Airtel
4262,110,90.22,N.A,Recharge of Rs. 110 by Airtel,Talktime of Rs. 90.22 for Rs. 110 recharge by Airtel
4263,120,110,N.A,Recharge of Rs. 120 by Airtel,Talktime of Rs. 110 for Rs. 120 recharge by Airtel
4264,130,107.17,N.A,Recharge of Rs. 130 by Airtel,Talktime of Rs. 107.17 for Rs. 130 recharge by Airtel
4265,150,140,N.A,Recharge of Rs. 150 by Airtel,Talktime of Rs. 140 for Rs. 150 recharge by Airtel
4266,160,132.59,N.A,Recharge of Rs. 160 by Airtel,Talktime of Rs. 132.59 for Rs. 160 recharge by Airtel
4267,200,190,N.A,Recharge of Rs. 200 by Airtel,Talktime of Rs. 190 for Rs. 200 recharge by Airtel
4268,220,186.44,N.A,Recharge of Rs. 220 by Airtel,Talktime of Rs. 186.44 for Rs. 220 recharge by Airtel
4269,240,208.7,N.A,Recharge of Rs. 240 by Airtel,Talktime of Rs. 208.7 for Rs. 240 recharge by Airtel
