id,cost,talktime,validity,comments
12119,,,1 day,"Emergency Pack of 25 MB Applicable on Balance <=9, recovery of Rs 9 -- Overage: 4p/10Kb -- "
12120,5,,30 minutes,Unlimited Data -- Overage: 4P/10KB -- 
12122,7,,1 day,40 MB Data -- Overage: 4p/10Kb -- 
12123,9,,1 Hour,Unlimited Data -- Overage: 4p/10kb -- 
12124,15,,2 days,100 MB Data -- Overage: 4p/10kb
12125,25,,1 day,"Unlimited data -- FUP limit: 5GB, post 5GB 40kbps -- "
12126,27,,3 days,155 MB Data -- Overage: 4p/10Kb -- 
12127,31,,28 days,150 MB Data -- Overage: 4p/10kb
12128,48,,7 days,300 MB Data -- Overage: 4p/10kb
12129,78,,15 days,400 MB Data -- Overage: 4p/10Kb
12130,86,,28 days,275 MB Data -- Overage: 4p/10KB
12131,97,,28 days,325 MB Data -- Overage: 4p/10Kb
12132,98,,14 days,560 MB Data  -- Overage: 4p/10Kb -- 
12133,135,,14 days,750 MB Data -- Overage: 4p/10Kb
12134,154,,28 days,600 MB Data -- Overage: 4p/10kb
12135,155,,21 days,890 MB Data -- Overage: 4p/10Kb -- 
12136,175,,28 days,1 GB -- Overage: 4p/10Kb -- 
12137,199,,28 days,1.25 GB -- Overage: 4p/10Kb -- 
12139,205,,28 days,1.5 GB Data -- Overage: 4p/10Kb
12140,247,,28 days,"2 GB Unlimited -- FUP limit: 2 GB to 3 GB @ 40Kbps, Post 3 GB 10kbps"
