id,cost,talktime,validity,comments
14701,7,,2 days,"Local Reliance calls @15p/min, Local Other & STD@ 30p/min"
14702,9,,1 day,Unlimited local R2R calls
14703,12,,2 days,Unlimited local R2R calls
14704,13,,Same Day,Unlimited Local & STD Onnet in home and roaming Unlimited Local & STD Offnet landline in home and roaming 30 min Local & STD Offnet mobile in home and roaming Incoming roaming Free -- 
14705,18,,3 days,"Local Reliance calls @15p/min, Local Other & STD@ 30p/min"
14706,21,,28 days,All Local & STD Calls @ 25p/min
14707,24,,3 days,3000 Local and STD Seconds
14708,26,,2 days,All Local and STD reliance calls at 5p/min
14709,32,,7 days,UNLIMITED Local Reliance calls
14710,34,,7 days,65 Local minutes Free
14711,35,,28 days,All local calls @ Rs. 30p/min
14712,41,,21 days,"Local + STD + Roam (Loc+STD) Calls @ 35p/min, Roaming IC Free"
14713,47,,90 days,All Local & STD Calls @25P/MIN 
14714,48,,14 days,250 Local Reliance minutes & 250 Local Reliance night (11 PM - 6 AM) minutes free
14715,49,,30 days,"Local + STD + Roam (Loc+STD) Calls @ 35p/min, Roaming IC Free"
14716,57,,21 days,500 Local Reliance Minutes
14717,73,,90 days,All Local & STD Calls @ 30p/Min
14718,84,,7 days,Unlimited Local & STD Onnet in home and roaming Unlimited Local & STD Offnet landline in home and roaming 30 min/day Local & STD Offnet mobile in home and roaming Incoming roaming Free
14719,91,,7 days,All Local and STD reliance calls at 5p/min
14720,98,,28 days,250 Local mins
14721,128,,25 days,Unlimited Local On Net Calls
14722,135,,28 days,Unlimited Local On Net Calls
14723,149,,28 days,23000 Local and STD Mobile Seconds
14724,295,,28 days,Unlimited Local & STD Onnet in home and roaming
