id,cost,talktime,validity,comments
9116,7,,45 days,"Local On-Net mobile calls @ 30p/min -- Local Off-Net mobile calls @ 30p/min -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
9117,11,,28 days,"Local On-Net mobile calls @ 10p/min -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
9118,29,,28 days,"Local TATA to TATA Mobile Calls @ 20p & Other Local Mobile Calls @ 30p -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
9119,33,,14 days,"Local Secs: 4200 Seconds (70 Minutes) -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
9120,34,,28 days,Local/STD Mobile Calls 30p/Min 
9121,37,,90 days,"All Local Mobile Calls @ 1.4p/ 2secs  -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
9122,44,,10 days,90 Local + STD Minutes
9123,58,,15 days,"Local On-Net Secs: 30000 Seconds (500 Minutes) -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
9124,66,,90 days,"Local/STD Mobile Calls 35p/Min -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
9125,97,,30 days,"200 Local + STD Minutes -- Benefit applicable in following Tehsils only: Almora, Amroha, Auraiya, Baghpat, Baraut, Behat, Bharthana, Bhatwari, Bhogaon, Bidhuna, Bijnor, Bilari, Bilaspur, Bisalpur, Bisauli, Budaun, Budhana, Bulandshahr, Chakarnagar, Chamoli, Champawat, Chandausi, Chhata, Dadri, Deoband, Dataganj, Devprayag, Dhampur, Dunda, Etawah, Etah, Firozabad, Gabhana, Garhmukteshwar, Gautam Buddha Nagar, Ghaziabad, Hapur, Hardwar, Hasanpur, Hathras, Iglas, Jasrana, Jaswantnagar, Jewar, Joshimath, Karhal, Karnaprayag, Kasganj, Kashipur, Khatauli, Khair, Khatima, Khekada, Khurja, Koil, Kotdwara, Mat, Mainpuri, Mathura, Meerut, Milak, Modinagar, Moradabad, Muradnagar, Muzaffarnagar, Najibabad, Narendranagar, Pauri, Pilibhit, Pithoragarh, Puranpur, Rampur, Ranikhet, Roorkee, Rudraprayag, Rudrapur, Sadabad, Saharanpur, Saifai, Sambhal, Sardhana, Shahabad, Shikohabad, Sikandrabad, Sitarganj, Srinagar, Suar, Tehri, Tundla, Vrindavan."
