id,cost,talktime,validity,short description,long description
4455,29,,30 days,Recharge of Rs. 29 by Airtel,115 MB 3G Data
4456,45,,7 days,Recharge of Rs. 45 by Airtel,250 MB 3G Data
4457,46,,28 days,Recharge of Rs. 46 by Airtel,125 MB 3G Data
4460,74,,8 days,Recharge of Rs. 74 by Airtel,300 MB 3G Data
4462,95,,5 days,Recharge of Rs. 95 by Airtel,1 GB 3G Data
4463,97,,28 days,Recharge of Rs. 97 by Airtel,300 MB 3G Data
4464,103,,14 days,Recharge of Rs. 103 by Airtel,400 MB 3G Data
4465,128,,14 days,Recharge of Rs. 128 by Airtel,500 MB 3G Data
4468,199,,28 days,Recharge of Rs. 199 by Airtel,1.2 GB 3G Data
4472,298,,28 days,Recharge of Rs. 298 by Airtel,1 GB 3G Data. 1GB Happy Hours Night data(3AM to 5AM)
4477,497,,28 days,Recharge of Rs. 497 by Airtel,2 GB 3G Data
4488,999,,28 days,Recharge of Rs. 999 by Airtel,10 GB 3G Data. 10 GB Happy Hours Night data(3AM to 5AM)
4491,1499,,28 days,Recharge of Rs. 1499 by Airtel,15 GB 3G Data
4492,1997,,28 days,Recharge of Rs. 1997 by Airtel,25 GB 3G Data
