id,cost,talktime,validity,short description,long description
4541,3,,90 days,Recharge of Rs. 3 by Airtel,"STD mobile calls at 25p/min for 90 days, local Airtel calls at 10p/min and local other calls at 30p/min for 7 days, Landline at 2.5p/sec. -- Applicable only for new subscribers as FRC/SRC"
4542,14,,90 days,Recharge of Rs. 14 by Airtel,Local airtel to airtel mobile calls at 10p/min -- Applicable only for new subscribers as FRC/SRC
4543,51,,35 Days,Recharge of Rs. 51 by Airtel,All Unlimited Local + STD calls in National Roaming (35 Days). For 4G H/s and 4G SIM (84 days) -- Applicable only on FRC 449(T&C apply) -- Applicable only for new subscribers as FRC/SRC
4544,55,20,90 days,Recharge of Rs. 55 by Airtel,"50 MB 4G/3G Data (30 days) -- All mobile calls @1.5p/sec, Landline @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
4545,62,27,90 days,Recharge of Rs. 62 by Airtel,"50 MB 4G/3G Data (30 days) -- All mobile calls @1.5p/sec, Landline @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
4546,86,10,90 days,Recharge of Rs. 86 by Airtel,"300 MB 3G/4G Data (30 days) -- All local STD mobile calls at 1.5p/sec, LL 2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
4547,88,53,90 days,Recharge of Rs. 88 by Airtel,"50 MB 4G/3G Data (30 days) --  All mobile calls @1.5p/sec, Landline @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
4548,105,80,90 days,Recharge of Rs. 105 by Airtel,"50 MB 3G/4G Data (30 days) -- All local STD mobile calls at 1.5p/sec, LL 2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
4549,144,,28 days,Recharge of Rs. 144 by Airtel,Unlimited Local & STD Airtel calls -- 2 GB data on 4G Handset with 4G SIM and 1 GB for others -- T&C apply -- Applicable only for new subscribers as FRC/SRC
4550,198,,28 days,Recharge of Rs. 198 by Airtel,"Unlimited local + STD airtel to airtel calls, 150 min other local + STD calls -- 2 GB for 4G HS + 4G Sim, 1 GB for others (28 days) -- Applicable only for new subscribers as FRC/SRC"
4551,201,146,90 days,Recharge of Rs. 201 by Airtel,"50 MB 4G/3G Data (30 days) -- All mobile calls @1.5p/sec, LL @2.5p/sec -- Applicable only for new subscribers as FRC/SRC"
4552,293,,84 days,Recharge of Rs. 293 by Airtel,4G handset with 4G SIM: Unlimited Local + STD Airtel mobile -- 1 GB/day Data (84 days) Other handset: Unlimited Local + STD -- 2 GB Data (35 days) -- T&C apply -- Applicable only for new subscribers as FRC/SRC
4553,344,,28 days,Recharge of Rs. 344 by Airtel,Unlimited all Local + STD calls -- 1 GB/day 3G/4G data -- T&C apply. -- Applicable only for new subscribers as FRC/SRC
4554,449,,84 days,Recharge of Rs. 449 by Airtel,Unlimted all Local + STD Calls -- 1 GB data/day on 4G Handset & 4G SIMOther handset: Unlimted Local + STD Calls -- 2 GB data (35 days) --  T&C apply -- Applicable only for new subscribers as FRC/SRC
4555,604,,84 days,Recharge of Rs. 604 by Airtel,Unlimted Local +STD Calls -- 2 GB data/day on 4G Handset & 4GSIM (84 days) and 2.5 GB for others (35 days). T&C apply. -- Applicable only for new subscribers as FRC/SRC
4556,844,,84 days,Recharge of Rs. 844 by Airtel,Unlimted Local + STD Mobile Calls -- 3 GB data/day on 4G Handset & 4GSIM & 5 GB for others (35 days) -- T&C apply -- Applicable only for new subscribers as FRC/SRC
