id,cost,talktime,validity,short description,long description
4522,7,,28 days,Recharge of Rs. 7 by Airtel,ISD Call to Bangaldesh calls @Rs 1.99/minNepal & Bhutan calls @RS.6.99/min
4523,34,,30 days,Recharge of Rs. 34 by Airtel,ISD pack BANGLADESH 1.99/minBERMUDA 2.99/minBHUTAN 5.99/minCANADA 1.49/minDOMINICA REP 5/minGUAM 2.99/minMALAYSIA 3.49/minNEPAL 5.99/minROMANIA 5.99/minRUSSIA 7.49/minSAIPAN 2.49/minSAUDI ARABIA 7.49/minSINGAPORE 1.49/minTHAILAND 3.49/minU.K. 1.49/minUSA 1.49/min
4524,36,,30 days,Recharge of Rs. 36 by Airtel,Bangladesh Calling @1.99/min
4525,496,,1 day,Recharge of Rs. 496 by Airtel,"Unlimited incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight"
4526,647,,1 day,Recharge of Rs. 647 by Airtel,Free benefits: 100 Min incoming -- 500 MB Data -- 100 SMS/Day -- 100Min Loc/Call to India
4527,649,,1 day,Recharge of Rs. 649 by Airtel,"100min incoming,100min Local/call to India -- 500 MB data -- 100 SMS/day"
4528,996,,1 day,Recharge of Rs. 996 by Airtel,"100min incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight. "
4529,997,,30 days,Recharge of Rs. 997 by Airtel,"IR Pack - 30mins Free incoming. Thereafter charged Incoming @Rs19/min,Outgoing@Rs39/min,@39p/10KB Rs15/SMS "
4530,1199,,10 days,Recharge of Rs. 1199 by Airtel,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
4531,2499,,30 days,Recharge of Rs. 2499 by Airtel,Free benefits:Unlimited incoming -- 5 GB data -- 100sms/Day -- 500 min loc/call to India
4532,2899,,30 days,Recharge of Rs. 2899 by Airtel,Thailand Smartpack:1 GB Data Unlimited incomings + 299 min India callsTariff: Calls to India/Local @Rs10/minIntl.calls @Rs39SMS @Rs10Data @Rs10/MB
4533,2998,,10 days,Recharge of Rs. 2998 by Airtel,Free benefits: 250 min incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
4534,2999,,10 days,Recharge of Rs. 2999 by Airtel,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
4535,3995,,10 days,Recharge of Rs. 3995 by Airtel,Free benefits: 250 min incoming -- 3 GB data -- 100 sms/Day -- 250 min local/call to India
4536,3998,,30 days,Recharge of Rs. 3998 by Airtel,Free benefits:Unlimited incoming -- 5 GB data -- 100sms/Day -- 500 min loc/call to India
4537,3999,,30 days,Recharge of Rs. 3999 by Airtel,Free benefits:Unlimited incoming -- 5 GB data -- 100sms/Day -- 500 min loc/call to India
4538,6999,,30 days,Recharge of Rs. 6999 by Airtel,Free benefits:Unlimited incoming -- 5 GB data -- 100sms/Day -- 500 min loc/call to India
