id,cost,talktime,validity,comments
4407,52,52,7 days,300 MB 2G Data
4408,222,222,N.A,2 Local Airtel to Airtel night SMS (2days)
4412,555,555,N.A,2 Local Airtel to Airtel night SMS (2 Days)
4413,779,779,7 days,Outgoing Rs 40/min and Incoming Rs 30/min -- Applicable only on selected countries and Operators
4422,27,20.18,N.A,2 night Local Airtel to Airtel Minutes (2 Days)
4425,42,40,7 days,10 Night Local A2A SMS 
4427,56,44.46,N.A,2 Night Local A2A Minutes (Valid 2 days)
4445,349,,28 days,Unlimited Local + STD Airtel to Airtel mobile calls & SMS -- 1GB 3G/4G Data
4450,23,,1 day,Unlimited Local +STD A2A calls -- 100 MB Data for 4G HS /other HS 50 MB 
4451,53,,7 days,Unlimited Local +STD A2A calls -- 250 MB Data for 4G HS /other HS 50 MB 
4452,93,,7 days,Unlimited Local +STD A2A + 100 OFFNET MINS -- 250 MB Data for 4G HS /other HS 50 MB 
4453,244,,28 days,"Unlimited Local + STD Airtel to Airtel Mobile calls -- 50 MB data.For 4G Handset+ 4G SIM,extra 1GB Data -- T&C apply"
4540,85,,7 days,Unlimited Emails (POP/IMAP) + Instant Messaging
