id,cost,talktime,validity,short description,long description
7329,189,220,14 days,Recharge of Rs. 189 by BSNL,Rs.189 in main account.Rs.31 talk value -- 1 GB 2G/3G Data free -- Validity of Rs.31 talk value & 1 GB Data (14 days)
7330,289,340,28 days,Recharge of Rs. 289 by BSNL,Rs289 in main account + Rs51 in dedicated account -- 1 GB 2G/3G data
7331,389,460,30 days,Recharge of Rs. 389 by BSNL,Rs389 in main account + Rs71 in dedicated account -- 1 GB 2G/3G data.
7332,599,786,30 days,Recharge of Rs. 599 by BSNL,Talktime: Rs.507 in main account + Rs.279 in dedicated) -- 10 on-net local SMS.
7333,1402,1402,30 days,Recharge of Rs. 1402 by BSNL,Rs.1402 Usage value in main account -- All local/national voice calls at 0.9p/sec -- 250 MB 2G/3G Data -- 250 SMS any network
7334,111,90,20 days,Recharge of Rs. 111 by BSNL,70 minutes free talk time for local/ STD onnet calls. STV benefit available in home LSA only.
7335,222,190,40 days,Recharge of Rs. 222 by BSNL,110 minutes free talk time for local STD onnet calls. STV benefit available in home LSA only.
7336,239,80,14 days,Recharge of Rs. 239 by BSNL,1 GB 2G/3G Data
7337,47,20,21 days,Recharge of Rs. 47 by BSNL,Local Onnet Voice calls at 20p per minute. STV feature available in home LSA only.
7338,48,11,30 days,Recharge of Rs. 48 by BSNL,Local/STD Onnet voice call at Night(11PM to 6AM) at Rs0.05 per Min. STV feature available in home LSA only.
7339,71,20,30 days,Recharge of Rs. 71 by BSNL,Local Any net Voice calls 30p min. STV benefit available in home LSA only.
7340,81,20,30 days,Recharge of Rs. 81 by BSNL,800 minutes Local/STD Onnet voice call at Night(11PM to 6AM). STV benefit is avilable in home LSA only.
7341,84,24,60 days,Recharge of Rs. 84 by BSNL,All STD voice calls at 35p per minute. STV benefit is available in home LSA only.
7342,146,25,30 days,Recharge of Rs. 146 by BSNL,1800 minutes Local/STD Onnet voice call at Night(11PM to 6AM). STV benefit is avilable in home LSA only.
7343,209,25,90 days,Recharge of Rs. 209 by BSNL,Local Call Anynet at 1 ps/2 sec. STV benefit is avilable in home LSA only.
7344,451,80,60 days,Recharge of Rs. 451 by BSNL,2 GB 2G/3G Data
7350,92,,30 days,Recharge of Rs. 92 by BSNL,Free 120 minutes voice call and 40 nos of SMS to any network in roaming
7351,125,,30 days,Recharge of Rs. 125 by BSNL,177 minutes any network voice calls -- 200MB data -- 100 SMS (local/national any network). STV benefit is avilable in home LSA only.
