id,cost,talktime,validity,short description,long description
18861,39,,28 days,Recharge of Rs. 39 by Vodafone,"Bangladesh @ 1.99/minNepal @ 6.5/minBhutan @ 7.20/minGulf Countries ( barring Iran, Iraq, Kuwait, Qatar, Saudi Arbia, UAE & Yemen) @ 12p/sec"
18862,575,,1 day,Recharge of Rs. 575 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore! -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18863,673,,10 days,Recharge of Rs. 673 by Vodafone,"Incoming calls @ Rs 39/min -- Data @ Rs 39/MB -- Outgoing within visited country @ Rs 19.5/min -- Outgoing outside the visited country @ Rs 39/min -- SMS @ Rs 15/sms -- Applicable across popular destinations like Singapore, Thailand, Malaysia, USA, UK and UAE and more countries on select network operators only."
18864,1151,,2 days,Recharge of Rs. 1151 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18865,1684,,30 days,Recharge of Rs. 1684 by Vodafone,Free 30 Incoming minutes In International Roaming post which Incoming calls@39 Rs/min -- Data @ Rs 39/MB -- Outgoing within visited country @ Rs 19.5/min -- Outgoing outside the visited country @ Rs 39/min -- SMS @ Rs 15/SMS.
18866,1725,,3 days,Recharge of Rs. 1725 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18867,2301,,4 days,Recharge of Rs. 2301 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18868,2875,,7 days,Recharge of Rs. 2875 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18869,4025,,10 days,Recharge of Rs. 4025 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
18870,5751,,30 days,Recharge of Rs. 5751 by Vodafone,"UNLIMITED FREE data & calls while travelling in US, UAE and Singapore -- In 37 other countries, enjoy FREE incoming calls, outgoing calls @Rs1/min -- Data @Rs1/MB -- Outgoing SMS @Rs.15/sms in all countries -- Applicable on select networks."
